"locus","chr","start","stop","processed","K","n_snps","h2_MDD","h2_BIP","p_MDD","p_BIP","gate_pass","rho_hat","rho_raw","paramlim_drop","rho_lower","rho_upper","bivar_p","n_pheno_returned","dropped_pheno"
474,3,61277588,62609818,TRUE,596,2856,0.00017487,0.000303982,0.193087,0.000486793,FALSE,NA,NA,NA,NA,NA,NA,2,NA
475,3,62609819,63670803,TRUE,381,3102,0.000195941,0.00022372,0.114308,0.00114939,FALSE,NA,NA,NA,NA,NA,NA,2,NA
476,3,63670804,64662373,TRUE,347,1888,0.000128877,0.000219147,0.202793,0.00104205,FALSE,NA,NA,NA,NA,NA,NA,2,NA
477,3,64662374,65326751,TRUE,295,1975,0.000133289,0.000123588,0.173958,0.0251377,FALSE,NA,NA,NA,NA,NA,NA,2,NA
478,3,65326752,66702084,TRUE,529,2923,0.000161425,0.000246928,0.198115,0.00199056,FALSE,NA,NA,NA,NA,NA,NA,2,NA
479,3,66702085,67454740,TRUE,228,2086,0.000164789,NA,0.0971818,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"BIP"
480,3,67454741,68319770,TRUE,247,1966,0.000123617,0.000185822,0.17083,0.00103384,FALSE,NA,NA,NA,NA,NA,NA,2,NA
481,3,68319771,69784969,TRUE,427,3497,0.000178866,0.000461075,0.148253,1.13922e-08,FALSE,NA,NA,NA,NA,NA,NA,2,NA
482,3,69784970,71223281,TRUE,388,2335,1.47303e-05,0.000671483,0.454884,5.5814e-16,FALSE,NA,NA,NA,NA,NA,NA,2,NA
483,3,71223282,72334704,TRUE,557,2520,NA,0.000243894,NA,0.00266938,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
484,3,72334705,73606612,TRUE,471,2545,0.000407996,9.5837e-05,0.0148468,0.108202,FALSE,NA,NA,NA,NA,NA,NA,2,NA
485,3,73606613,74383137,TRUE,282,1956,0.000268688,0.000155116,0.0335696,0.00742015,TRUE,-0.310481,-0.310481,FALSE,-1,0.4764,0.410112,2,NA
486,3,74383138,75374967,TRUE,170,1854,0.000389634,0.000137417,0.000691296,0.00482565,TRUE,-0.0277129,-0.0277129,FALSE,-0.86255,0.5998,0.924397,2,NA
487,3,75374968,76157470,TRUE,71,715,3.43214e-05,NA,0.300292,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"BIP"
488,3,76157471,77507832,TRUE,362,3163,0.000154537,0.000236275,0.164959,0.000704128,FALSE,NA,NA,NA,NA,NA,NA,2,NA
489,3,77507833,79023360,TRUE,333,2866,0.000186223,7.31389e-05,0.112226,0.13256,FALSE,NA,NA,NA,NA,NA,NA,2,NA
490,3,79023361,80385708,TRUE,223,2491,0.000105761,0.000141977,0.195605,0.00609104,FALSE,NA,NA,NA,NA,NA,NA,2,NA
491,3,80385709,81431496,TRUE,147,2297,0.000464579,0.000131301,4.35279e-05,0.00239707,TRUE,0.430657,0.430657,FALSE,-0.10359,1,0.0989964,2,NA
492,3,81431497,82532742,TRUE,182,1860,NA,0.000134392,NA,0.0044748,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
493,3,82532743,83529394,TRUE,122,2004,2.59767e-05,0.0001093,0.373429,0.00509405,FALSE,NA,NA,NA,NA,NA,NA,2,NA
494,3,83529395,84698480,TRUE,146,2733,6.21344e-05,0.000175079,0.259641,0.000156812,FALSE,NA,NA,NA,NA,NA,NA,2,NA
495,3,84698481,85807679,TRUE,153,2612,0.000210233,0.000233342,0.0263292,2.3644e-06,TRUE,0.338409,0.338409,FALSE,-0.28986,1,0.24339,2,NA
496,3,85807680,86660979,TRUE,126,1702,0.00017414,7.5335e-05,0.0384033,0.0374601,TRUE,0.491061,0.491061,FALSE,-0.60988,1,0.286849,2,NA
497,3,86660980,87411258,TRUE,128,1728,5.33859e-05,0.000297226,0.279531,3.64524e-09,FALSE,NA,NA,NA,NA,NA,NA,2,NA
498,3,87411259,88375763,TRUE,154,2086,0.000259318,7.62825e-06,0.0101432,0.416711,FALSE,NA,NA,NA,NA,NA,NA,2,NA
499,3,88375764,89612939,TRUE,183,2585,0.000239019,0.000204161,0.0212544,7.55097e-05,TRUE,0.481523,0.481523,FALSE,-0.13522,1,0.112273,2,NA
500,3,89612940,94250144,TRUE,151,1649,0.000512274,0.000179125,1.27711e-05,0.000127378,TRUE,0.0357313,0.0357313,FALSE,-0.49216,0.49225,0.873227,2,NA
501,3,94250145,95088587,TRUE,107,1770,0.000117464,0.000142127,0.0902331,0.000298525,FALSE,NA,NA,NA,NA,NA,NA,2,NA
502,3,95088588,96055532,TRUE,103,2667,0.000120374,0.000128857,0.0848704,0.00112204,FALSE,NA,NA,NA,NA,NA,NA,2,NA
503,3,96055533,97351955,TRUE,169,1716,0.00017893,0.000112636,0.0578785,0.0106893,FALSE,NA,NA,NA,NA,NA,NA,2,NA
504,3,97351956,98212868,TRUE,154,2180,NA,3.14074e-05,NA,0.229116,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
505,3,98212869,99045104,TRUE,166,2042,0.000245181,0.000123778,0.0160979,0.0064591,TRUE,0.412921,0.412921,FALSE,-0.40925,1,0.24838,2,NA
506,3,99045105,100552522,TRUE,241,2583,0.000245657,0.000188912,0.0338242,0.000729035,TRUE,-0.0692793,-0.0692793,FALSE,-1,0.68972,0.83716,2,NA
507,3,100552523,101906989,TRUE,252,2775,0.000268689,4.01716e-05,0.0245845,0.231105,FALSE,NA,NA,NA,NA,NA,NA,2,NA
508,3,101906990,103450271,TRUE,226,3546,0.000170425,0.000100739,0.0908327,0.0339277,FALSE,NA,NA,NA,NA,NA,NA,2,NA
509,3,103450272,104116563,TRUE,155,1947,0.000130778,7.40034e-05,0.106232,0.0510241,FALSE,NA,NA,NA,NA,NA,NA,2,NA
510,3,104116564,104878977,TRUE,159,2065,NA,5.16134e-05,NA,0.124836,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
511,3,104878978,106174685,TRUE,320,3127,0.000795726,0.000201126,1.01151e-06,0.00151331,TRUE,-0.0993551,-0.0993551,FALSE,-0.67473,0.34649,0.654706,2,NA
512,3,106174686,107736519,TRUE,414,3027,0.000188326,0.000280973,0.134092,0.000160464,FALSE,NA,NA,NA,NA,NA,NA,2,NA
513,3,107736520,108638900,TRUE,187,1930,0.000129655,0.000176662,0.130612,0.000409338,FALSE,NA,NA,NA,NA,NA,NA,2,NA
514,3,108638901,109519606,TRUE,147,1824,7.83868e-05,3.82027e-05,0.216191,0.191246,FALSE,NA,NA,NA,NA,NA,NA,2,NA
515,3,109519607,110935508,TRUE,227,2814,NA,0.000127632,NA,0.0119771,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
516,3,110935509,111693782,TRUE,182,1953,6.97568e-05,5.60249e-05,0.260001,0.120415,FALSE,NA,NA,NA,NA,NA,NA,2,NA
517,3,111693783,112408513,TRUE,183,1815,0.000227655,7.58514e-05,0.027547,0.0617082,FALSE,NA,NA,NA,NA,NA,NA,2,NA
518,3,112408514,113657665,TRUE,300,2961,0.000204313,0.000160584,0.0809223,0.00668119,FALSE,NA,NA,NA,NA,NA,NA,2,NA
519,3,113657666,115649909,TRUE,512,3309,0.000164978,0.000639125,0.191985,2.04327e-12,FALSE,NA,NA,NA,NA,NA,NA,2,NA
520,3,115649910,116498570,TRUE,210,1890,NA,6.4719e-05,NA,0.104652,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
521,3,116498571,117241644,TRUE,287,1885,5.92668e-05,0.000153552,0.329132,0.00756802,FALSE,NA,NA,NA,NA,NA,NA,2,NA
522,3,117241645,118086929,TRUE,186,2045,0.000161044,2.65928e-05,0.082146,0.281968,FALSE,NA,NA,NA,NA,NA,NA,2,NA
523,3,118086930,118903053,TRUE,174,1830,2.91673e-05,1.94803e-05,0.381768,0.327042,FALSE,NA,NA,NA,NA,NA,NA,2,NA
524,3,118903054,119759983,TRUE,220,1923,NA,6.79244e-05,NA,0.0997677,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
525,3,119759984,120574477,TRUE,233,1909,0.00013491,0.000108583,0.144086,0.0265574,FALSE,NA,NA,NA,NA,NA,NA,2,NA
526,3,120574478,121362442,TRUE,92,1658,NA,0.0001705,NA,1.36651e-05,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
527,3,121362443,122340832,TRUE,199,2160,NA,0.000159294,NA,0.00165448,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
528,3,122340833,123518507,TRUE,308,2275,0.000282429,0.000248817,0.0317015,0.00012124,TRUE,-0.419278,-0.419278,FALSE,-1,0.18326,0.177279,2,NA
529,3,123518508,124823006,TRUE,347,2967,0.000319274,0.000246138,0.0236334,0.000264346,TRUE,-0.6337,-0.6337,FALSE,-1,-0.03227,0.0391168,2,NA
530,3,124823007,125475722,TRUE,154,1691,0.000193845,9.92042e-05,0.0381139,0.0178609,TRUE,0.69251,0.69251,FALSE,-0.16655,1,0.101034,2,NA
531,3,125475723,125992650,TRUE,123,1696,0.000458153,3.62245e-05,1.16215e-05,0.176244,FALSE,NA,NA,NA,NA,NA,NA,2,NA
532,3,125992651,127495173,TRUE,428,3556,NA,0.000298515,NA,9.08312e-05,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
533,3,127495174,129091975,TRUE,325,2986,0.000401343,0.0001817,0.00581882,0.00367567,TRUE,-0.302376,-0.302376,FALSE,-1,0.3254,0.326924,2,NA
534,3,129091976,130242360,TRUE,211,2106,0.000318282,6.76375e-05,0.00785497,0.0991089,FALSE,NA,NA,NA,NA,NA,NA,2,NA
535,3,130242361,131373470,TRUE,196,1938,0.000260919,8.68473e-05,0.0188731,0.0508512,FALSE,NA,NA,NA,NA,NA,NA,2,NA
536,3,131373471,132124018,TRUE,167,2315,9.64663e-05,NA,0.181343,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"BIP"
537,3,132124019,132925967,TRUE,157,1790,7.32132e-05,0.000103302,0.233916,0.0143379,FALSE,NA,NA,NA,NA,NA,NA,2,NA
538,3,132925968,133718493,TRUE,293,1799,0.000160476,0.000230301,0.130216,0.000270082,FALSE,NA,NA,NA,NA,NA,NA,2,NA
539,3,133718494,135288394,TRUE,438,3256,0.000891552,0.000346922,1.78953e-06,1.12227e-05,TRUE,-0.097312,-0.097312,FALSE,-0.54784,0.27704,0.603129,2,NA
540,3,135288395,137372141,TRUE,287,3063,0.000354522,0.000252634,0.00873094,8.19672e-05,TRUE,0.0474772,0.0474772,FALSE,-0.67919,0.66337,0.862118,2,NA
541,3,137372142,138693846,TRUE,259,2060,0.00035356,4.33008e-05,0.00693872,0.219474,FALSE,NA,NA,NA,NA,NA,NA,2,NA
542,3,138693847,139831267,TRUE,284,2294,9.14582e-05,0.000185202,0.252963,0.00181253,FALSE,NA,NA,NA,NA,NA,NA,2,NA
543,3,139831268,141034637,TRUE,367,2478,7.1174e-05,0.000234014,0.322643,0.000655474,FALSE,NA,NA,NA,NA,NA,NA,2,NA
544,3,141034638,141898978,TRUE,258,1937,5.18391e-05,0.000120072,0.339457,0.0207812,FALSE,NA,NA,NA,NA,NA,NA,2,NA
545,3,141898979,142976707,TRUE,247,1969,0.000215833,0.000202362,0.053914,0.000424207,FALSE,NA,NA,NA,NA,NA,NA,2,NA
546,3,142976708,144408821,TRUE,386,3193,0.000847001,0.000259289,1.65444e-06,0.000296765,TRUE,-0.220986,-0.220986,FALSE,-0.78116,0.18822,0.286371,2,NA
547,3,144408822,145211907,TRUE,159,1943,1.97656e-05,0.000121595,0.412193,0.00583655,FALSE,NA,NA,NA,NA,NA,NA,2,NA
548,3,145211908,145903838,TRUE,180,2007,0.000199412,7.83763e-05,0.0432771,0.0602934,FALSE,NA,NA,NA,NA,NA,NA,2,NA
549,3,145903839,147358243,TRUE,326,3392,2.05615e-05,0.000159206,0.435305,0.00852433,FALSE,NA,NA,NA,NA,NA,NA,2,NA
550,3,147358244,148638308,TRUE,365,2864,NA,2.06778e-05,NA,0.370721,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
551,3,148638309,149998411,TRUE,421,3227,0.000216871,0.000210871,0.104409,0.00287028,FALSE,NA,NA,NA,NA,NA,NA,2,NA
552,3,149998412,151131307,TRUE,332,2281,NA,0.000170121,NA,0.0069516,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
553,3,151131308,151904021,TRUE,192,1903,5.63283e-05,7.32927e-05,0.302433,0.0728149,FALSE,NA,NA,NA,NA,NA,NA,2,NA
554,3,151904022,153406718,TRUE,343,3171,0.000208862,0.000329555,0.0909256,3.94324e-06,FALSE,NA,NA,NA,NA,NA,NA,2,NA
555,3,153406719,155046423,TRUE,323,3494,0.000456378,0.000228574,0.00217317,0.000494647,TRUE,-0.235196,-0.235196,FALSE,-1,0.30199,0.375936,2,NA
556,3,155046424,155928190,TRUE,174,1869,0.000157975,0.000111088,0.0815928,0.0157903,FALSE,NA,NA,NA,NA,NA,NA,2,NA
557,3,155928191,156795410,TRUE,198,1887,0.0001406,7.53987e-05,0.11836,0.0740865,FALSE,NA,NA,NA,NA,NA,NA,2,NA
558,3,156795411,157633700,TRUE,175,1876,NA,8.77492e-05,NA,0.0399207,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
559,3,157633701,158460058,TRUE,85,1858,3.91138e-05,2.61675e-05,0.290385,0.203301,FALSE,NA,NA,NA,NA,NA,NA,2,NA
560,3,158460059,159478751,TRUE,244,1827,0.000219589,0.000157963,0.0511446,0.00395918,FALSE,NA,NA,NA,NA,NA,NA,2,NA
561,3,159478752,160584961,TRUE,196,2030,NA,0.000156997,NA,0.00179522,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
562,3,160584962,161628883,TRUE,157,2485,0.000205926,8.45783e-05,0.036939,0.0346198,TRUE,0.493527,0.493527,FALSE,-0.57906,1,0.27131,2,NA
563,3,161628884,162622604,TRUE,147,3122,0.000121303,0.000109393,0.116427,0.00841907,FALSE,NA,NA,NA,NA,NA,NA,2,NA
564,3,162622605,163250112,TRUE,50,1870,NA,8.39995e-07,NA,0.459996,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
565,3,163250113,164037360,TRUE,89,2063,1.51321e-05,6.75511e-05,0.404729,0.0276288,FALSE,NA,NA,NA,NA,NA,NA,2,NA
566,3,164037361,165054911,TRUE,155,1947,4.0563e-05,0.000135207,0.336734,0.00248658,FALSE,NA,NA,NA,NA,NA,NA,2,NA
567,3,165054912,165936511,TRUE,138,2344,NA,9.45354e-05,NA,0.0189763,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
568,3,165936512,167118893,TRUE,161,3337,0.00012686,0.000220933,0.119883,1.12926e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
569,3,167118894,168972662,TRUE,384,3460,0.000434607,0.000285051,0.00564239,7.41921e-05,TRUE,0.00664442,0.00664442,FALSE,-0.70303,0.56264,0.979754,2,NA
570,3,168972663,170174578,TRUE,330,2283,0.00038164,0.000322039,0.00837864,4.35148e-06,TRUE,-0.0601409,-0.0601409,FALSE,-0.78229,0.47675,0.8126,2,NA
571,3,170174579,171134849,TRUE,281,1863,4.1672e-05,NA,0.371977,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"BIP"
572,3,171134850,172004760,TRUE,270,1887,NA,2.3193e-05,NA,0.337989,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
573,3,172004761,173415591,TRUE,444,2890,NA,6.03263e-05,NA,0.20663,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
574,3,173415592,174684707,TRUE,344,2790,0.000228449,0.000194651,0.0739363,0.00262622,FALSE,NA,NA,NA,NA,NA,NA,2,NA
575,3,174684708,175671424,TRUE,308,2474,0.000446346,0.000152532,0.00207253,0.00911461,TRUE,0.152839,0.152839,FALSE,-0.61944,0.89561,0.621584,2,NA
576,3,175671425,176931163,TRUE,325,3120,NA,0.000156191,NA,0.009622,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
577,3,176931164,178110322,TRUE,387,2426,NA,0.000362503,NA,1.25372e-06,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
578,3,178110323,179372165,TRUE,283,2551,2.18816e-05,0.000161442,0.426609,0.0052527,FALSE,NA,NA,NA,NA,NA,NA,2,NA
579,3,179372166,181424323,TRUE,383,3152,0.00046321,0.000299157,0.003871,4.29758e-05,TRUE,-0.416726,-0.416726,FALSE,-1,0.0702,0.098028,2,NA
580,3,181424324,183203155,TRUE,443,2938,NA,0.000233093,NA,0.00155988,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
581,3,183203156,184524268,TRUE,516,3035,0.000581443,0.000269216,0.00165977,0.000763648,TRUE,0.27141,0.27141,FALSE,-0.29809,0.8987,0.297578,2,NA
582,3,184524269,185709996,TRUE,230,2155,0.000569523,6.62467e-05,2.93081e-05,0.110904,FALSE,NA,NA,NA,NA,NA,NA,2,NA
583,3,185709997,186602045,TRUE,407,1899,0.000154254,3.94209e-05,0.178308,0.285828,FALSE,NA,NA,NA,NA,NA,NA,2,NA
584,3,186602046,187939199,TRUE,601,3315,0.000773708,0.00029318,0.000182997,0.000699533,TRUE,-0.323151,-0.323151,FALSE,-1,0.13102,0.170439,2,NA
585,3,187939200,189451805,TRUE,528,3332,0.000410056,0.000213899,0.01982,0.00635131,TRUE,-0.270458,-0.270458,FALSE,-1,0.44308,0.431238,2,NA
586,3,189451806,190591293,TRUE,393,3154,0.000418073,0.000160071,0.00771731,0.0143389,TRUE,0.154874,0.154874,FALSE,-0.80525,1,0.650276,2,NA
587,3,190591294,191229357,TRUE,150,1862,0.000105745,5.94846e-05,0.15005,0.0900074,FALSE,NA,NA,NA,NA,NA,NA,2,NA
588,3,191229358,192049688,TRUE,234,2515,0.000106417,0.000120252,0.19834,0.0167013,FALSE,NA,NA,NA,NA,NA,NA,2,NA
589,3,192049689,193122090,TRUE,308,2324,NA,0.000183542,NA,0.00306994,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
590,3,193122091,194217140,TRUE,489,2713,0.0003366,NA,0.0380606,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"BIP"
591,3,194217141,195196789,TRUE,447,3314,4.07928e-07,0.000199725,0.490177,0.00543602,FALSE,NA,NA,NA,NA,NA,NA,2,NA
592,3,195196790,195710290,TRUE,162,839,0.000589361,0.000165859,1.26477e-06,0.000674362,TRUE,-0.0929042,-0.0929042,FALSE,-0.65773,0.35482,0.681526,2,NA
593,3,195710291,196383152,TRUE,280,1655,0.000364697,0.000103947,0.00656179,0.0447303,TRUE,0.0211315,0.0211315,FALSE,-1,0.96993,0.95652,2,NA
594,3,196383153,197147990,TRUE,295,1754,8.28907e-05,0.000222729,0.274175,0.000410682,FALSE,NA,NA,NA,NA,NA,NA,2,NA
595,3,197147991,197962380,TRUE,194,1396,6.77713e-05,NA,0.273168,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"BIP"
596,4,10227,812415,TRUE,158,1670,0.000309666,NA,0.00353303,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"BIP"
597,4,812416,1529267,TRUE,202,1875,0.000383874,0.000155692,0.00188328,0.00235777,TRUE,-0.11905,-0.11905,FALSE,-0.97733,0.47957,0.681626,2,NA
598,4,1529268,2468935,TRUE,299,1936,0.000448645,0.000180057,0.0020397,0.00289529,TRUE,-0.119812,-0.119812,FALSE,-0.95664,0.47178,0.677186,2,NA
599,4,2468936,3549229,TRUE,324,2391,0.000151206,7.695e-05,0.155685,0.116569,FALSE,NA,NA,NA,NA,NA,NA,2,NA
600,4,3549230,4266178,TRUE,347,1936,0.00062733,0.000119816,0.000144078,0.0401819,TRUE,-0.486196,-0.486196,FALSE,-1,0.15679,0.128802,2,NA
601,4,4266179,5051834,TRUE,386,2281,5.70267e-05,7.15359e-05,0.355265,0.151361,FALSE,NA,NA,NA,NA,NA,NA,2,NA
602,4,5051835,5972709,TRUE,460,2918,NA,7.67206e-05,NA,0.156902,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
603,4,5972710,7135819,TRUE,672,3132,0.000632771,0.000250309,0.00249896,0.00469519,TRUE,0.13029,0.13029,FALSE,-0.59262,0.83454,0.651296,2,NA
604,4,7135820,7726034,TRUE,560,2355,0.000452343,0.000111033,0.0131329,0.0955696,FALSE,NA,NA,NA,NA,NA,NA,2,NA
605,4,7726035,8309826,TRUE,383,1842,0.000153033,2.34928e-05,0.172711,0.359428,FALSE,NA,NA,NA,NA,NA,NA,2,NA
606,4,8309827,8882616,TRUE,203,1348,9.99343e-05,NA,0.198121,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"BIP"
607,4,8882617,9482867,TRUE,17,304,3.61509e-05,NA,0.156476,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"BIP"
608,4,9482868,9916156,TRUE,80,1490,0.00011096,1.18238e-06,0.0790514,0.464177,FALSE,NA,NA,NA,NA,NA,NA,2,NA
609,4,9916157,10370666,TRUE,107,1742,0.000143386,3.69386e-05,0.0554392,0.155923,FALSE,NA,NA,NA,NA,NA,NA,2,NA
610,4,10370667,11050119,TRUE,221,1827,0.000149552,8.58539e-05,0.118627,0.0590106,FALSE,NA,NA,NA,NA,NA,NA,2,NA
611,4,11050120,12209028,TRUE,390,3280,0.000383488,0.000361437,0.0123933,1.51258e-06,TRUE,-0.0277933,-0.0277933,FALSE,-0.73428,0.50628,0.912339,2,NA
612,4,12209029,13127576,TRUE,259,2622,0.00014899,0.00031829,0.134283,4.76657e-07,FALSE,NA,NA,NA,NA,NA,NA,2,NA
613,4,13127577,14395886,TRUE,452,3492,6.85964e-05,0.000368724,0.342301,4.51604e-06,FALSE,NA,NA,NA,NA,NA,NA,2,NA
614,4,14395887,14967147,TRUE,168,1771,NA,0.000216409,NA,1.90986e-05,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
615,4,14967148,15910801,TRUE,254,2203,0.000109344,0.000216526,0.209801,0.000216434,FALSE,NA,NA,NA,NA,NA,NA,2,NA
616,4,15910802,17290236,TRUE,505,3339,0.000251178,0.000139218,0.091679,0.0435983,FALSE,NA,NA,NA,NA,NA,NA,2,NA
617,4,17290237,18753263,TRUE,323,3424,0.000562715,0.000167784,0.000368019,0.00962622,TRUE,-0.245864,-0.245864,FALSE,-1,0.32335,0.393566,2,NA
618,4,18753264,20086838,TRUE,242,3630,6.03839e-05,7.32022e-05,0.310378,0.0929,FALSE,NA,NA,NA,NA,NA,NA,2,NA
619,4,20086839,21416380,TRUE,448,3387,0.000629142,0.000234922,0.00041731,0.00167728,TRUE,-0.073333,-0.073333,FALSE,-0.77588,0.44442,0.775027,2,NA
620,4,21416381,22835185,TRUE,345,3693,0.000112575,0.000223196,0.231897,0.0010235,FALSE,NA,NA,NA,NA,NA,NA,2,NA
621,4,22835186,23858350,TRUE,279,1940,0.000126521,0.000364113,0.1796,4.69556e-08,FALSE,NA,NA,NA,NA,NA,NA,2,NA
622,4,23858351,24764724,TRUE,352,1970,2.01718e-05,0.000246682,0.438732,0.000294189,FALSE,NA,NA,NA,NA,NA,NA,2,NA
623,4,24764725,25832018,TRUE,396,2683,0.000432198,9.80373e-05,0.00642837,0.0858829,FALSE,NA,NA,NA,NA,NA,NA,2,NA
624,4,25832019,27385580,TRUE,498,2722,8.56883e-05,0.00019396,0.317299,0.010578,FALSE,NA,NA,NA,NA,NA,NA,2,NA
625,4,27385581,28177792,TRUE,249,2356,6.956e-05,NA,0.290908,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"BIP"
626,4,28177793,28927438,TRUE,158,2123,0.000163954,4.06838e-05,0.0630004,0.177475,FALSE,NA,NA,NA,NA,NA,NA,2,NA
627,4,28927439,29758399,TRUE,178,2136,7.11249e-05,8.89234e-05,0.254161,0.0350597,FALSE,NA,NA,NA,NA,NA,NA,2,NA
628,4,29758400,30455555,TRUE,170,2017,0.000306239,0.000101694,0.00497986,0.0196549,TRUE,-0.21066,-0.21066,FALSE,-1,0.55078,0.555826,2,NA
629,4,30455556,31395092,TRUE,241,2647,0.0001647,0.000180831,0.103467,0.00118369,FALSE,NA,NA,NA,NA,NA,NA,2,NA
630,4,31395093,32260117,TRUE,183,2296,0.000179354,0.000109667,0.0608372,0.0158909,FALSE,NA,NA,NA,NA,NA,NA,2,NA
631,4,32260118,32746820,TRUE,108,1705,4.35061e-05,NA,0.297324,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"BIP"
632,4,32746821,33640822,TRUE,142,1819,0.000137654,1.00018e-06,0.0967696,0.475475,FALSE,NA,NA,NA,NA,NA,NA,2,NA
633,4,33640823,34721845,TRUE,87,2011,1.59187e-05,8.48189e-05,0.401356,0.00902287,FALSE,NA,NA,NA,NA,NA,NA,2,NA
634,4,34721846,35411236,TRUE,167,1642,4.16272e-06,7.37818e-05,0.47015,0.0584649,FALSE,NA,NA,NA,NA,NA,NA,2,NA
635,4,35411237,35993838,TRUE,110,2211,NA,0.000138305,NA,0.000470808,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
636,4,35993839,36671801,TRUE,171,1916,0.000340684,8.75981e-05,0.00200063,0.0342,TRUE,0.326338,0.326338,FALSE,-0.54963,1,0.365353,2,NA
637,4,36671802,37880860,TRUE,396,3739,0.000348882,0.000262066,0.0215349,0.000245749,TRUE,0.0725716,0.0725716,FALSE,-0.74172,0.79214,0.809509,2,NA
638,4,37880861,38984838,TRUE,442,3014,0.0006072,0.000251687,0.000659561,0.000722863,TRUE,0.129505,0.129505,FALSE,-0.47301,0.68664,0.605721,2,NA
639,4,38984839,39820061,TRUE,211,1816,NA,9.21943e-05,NA,0.0409721,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
640,4,39820062,40590541,TRUE,317,1855,NA,0.000259001,NA,8.7639e-05,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
641,4,40590542,41360937,TRUE,241,1986,0.000203204,0.000111798,0.0624262,0.0254586,FALSE,NA,NA,NA,NA,NA,NA,2,NA
642,4,41360938,42189251,TRUE,194,1873,0.000274611,6.98646e-05,0.0143148,0.082619,FALSE,NA,NA,NA,NA,NA,NA,2,NA
643,4,42189252,43192424,TRUE,251,3075,0.000204321,0.000249596,0.0648908,3.13974e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
644,4,43192425,43962561,TRUE,152,1955,0.00035014,0.000136466,0.00118287,0.00310984,TRUE,0.193373,0.193373,FALSE,-0.513,0.89402,0.510233,2,NA
645,4,43962562,45186767,TRUE,235,3411,NA,7.65112e-05,NA,0.0826795,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
646,4,45186768,46358360,TRUE,230,2178,NA,0.000262842,NA,7.10282e-06,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
647,4,46358361,47408265,TRUE,224,1785,3.7418e-05,0.00018286,0.369954,0.000732288,FALSE,NA,NA,NA,NA,NA,NA,2,NA
648,4,47408266,49325138,TRUE,298,3074,0.0001759,0.00036889,0.111935,5.32737e-08,FALSE,NA,NA,NA,NA,NA,NA,2,NA
649,4,49325139,53879571,TRUE,205,1748,NA,0.000143259,NA,0.0040282,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
650,4,53879572,54659778,TRUE,183,1708,NA,7.66022e-05,NA,0.0597834,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
651,4,54659779,55681701,TRUE,317,1932,0.000175107,0.000315665,0.120722,3.20678e-06,FALSE,NA,NA,NA,NA,NA,NA,2,NA
652,4,55681702,57103100,TRUE,402,3615,0.000294093,0.000116674,0.0432296,0.0545474,FALSE,NA,NA,NA,NA,NA,NA,2,NA
653,4,57103101,58011085,TRUE,305,2497,8.13478e-05,4.14053e-05,0.280861,0.24609,FALSE,NA,NA,NA,NA,NA,NA,2,NA
