"locus","chr","start","stop","processed","K","n_snps","h2_SCZ","h2_BIP","p_SCZ","p_BIP","gate_pass","rho_hat","rho_raw","paramlim_drop","rho_lower","rho_upper","bivar_p","n_pheno_returned","dropped_pheno"
490,3,79023361,80385708,TRUE,229,2535,0.000605361,0.000220197,0.000455871,0.000112851,TRUE,0.00696357,0.00696357,FALSE,-0.62952,0.47197,0.977151,2,NA
491,3,80385709,81431496,TRUE,150,2317,0.000606857,0.000133974,3.78181e-05,0.00221119,TRUE,0.202464,0.202464,FALSE,-0.42167,0.72658,0.437057,2,NA
492,3,81431497,82532742,TRUE,184,1879,0.000756909,0.000133418,5.02564e-06,0.00492436,TRUE,0.610444,0.610444,FALSE,0.1432,1,0.0177581,2,NA
493,3,82532743,83529394,TRUE,125,2029,NA,0.00011966,NA,0.00294483,FALSE,NA,NA,NA,NA,NA,NA,1,"SCZ"
494,3,83529395,84698480,TRUE,150,2772,0.000316131,0.000183813,0.0136688,0.000102395,TRUE,0.00289022,0.00289022,FALSE,NA,NA,0.992304,2,NA
495,3,84698481,85807679,TRUE,155,2625,0.000384835,0.000231556,0.00459972,3.04535e-06,TRUE,0.353736,0.353736,FALSE,-0.18593,0.89225,0.167243,2,NA
496,3,85807680,86660979,TRUE,127,1726,0.000285191,7.47162e-05,0.0162523,0.0392527,TRUE,0.465283,0.465283,FALSE,-0.62011,1,0.279438,2,NA
497,3,86660980,87411258,TRUE,129,1751,0.000223208,0.000300937,0.0429887,2.9088e-09,TRUE,0.678819,0.678819,FALSE,0.167,1,0.0190988,2,NA
498,3,87411259,88375763,TRUE,159,2126,0.000130579,2.84299e-05,0.170681,0.255553,FALSE,NA,NA,NA,NA,NA,NA,2,NA
499,3,88375764,89612939,TRUE,187,2616,0.000119725,0.000192656,0.208178,0.000183939,FALSE,NA,NA,NA,NA,NA,NA,2,NA
500,3,89612940,94250144,TRUE,186,2130,0.000435063,0.00022883,0.00370442,1.67375e-05,TRUE,0.271873,0.271873,FALSE,-0.31997,0.80478,0.29224,2,NA
501,3,94250145,95088587,TRUE,109,1791,0.000184292,0.000128956,0.0600592,0.000880046,FALSE,NA,NA,NA,NA,NA,NA,2,NA
502,3,95088588,96055532,TRUE,105,2702,0.000107566,0.000140401,0.166336,0.000548648,FALSE,NA,NA,NA,NA,NA,NA,2,NA
503,3,96055533,97351955,TRUE,173,1748,0.000249,0.000147219,0.0477321,0.00187757,TRUE,0.597373,0.597373,FALSE,-0.17058,1,0.115183,2,NA
504,3,97351956,98212868,TRUE,157,2203,3.79122e-05,5.74674e-05,0.377862,0.0992114,FALSE,NA,NA,NA,NA,NA,NA,2,NA
505,3,98212869,99045104,TRUE,167,2077,NA,0.000142958,NA,0.00237192,FALSE,NA,NA,NA,NA,NA,NA,1,"SCZ"
506,3,99045105,100552522,TRUE,245,2615,0.000463224,0.000199577,0.00559768,0.000453049,TRUE,-0.0750094,-0.0750094,FALSE,-1,0.49864,0.793561,2,NA
507,3,100552523,101906989,TRUE,254,2815,0.000592487,4.4283e-05,0.000835627,0.211336,FALSE,NA,NA,NA,NA,NA,NA,2,NA
508,3,101906990,103450271,TRUE,228,3572,0.000411873,0.000134362,0.0091875,0.00881738,TRUE,0.456553,0.456553,FALSE,-0.33857,1,0.187885,2,NA
509,3,103450272,104116563,TRUE,155,1976,NA,6.46984e-05,NA,0.0755885,FALSE,NA,NA,NA,NA,NA,NA,1,"SCZ"
510,3,104116564,104878977,TRUE,161,2086,0.000513317,6.12662e-05,0.000436447,0.0898746,FALSE,NA,NA,NA,NA,NA,NA,2,NA
511,3,104878978,106174685,TRUE,324,3162,0.000415084,0.000180266,0.0217425,0.00390049,TRUE,0.372485,0.372485,FALSE,-0.45586,1,0.28558,2,NA
512,3,106174686,107736519,TRUE,419,3060,0.000909098,0.0003118,8.94949e-05,4.1833e-05,TRUE,0.185071,0.185071,FALSE,-0.32281,0.59181,0.392229,2,NA
513,3,107736520,108638900,TRUE,190,1946,0.000446321,0.000162753,0.0030266,0.00101278,TRUE,0.525756,0.525756,FALSE,-0.05652,1,0.0706796,2,NA
514,3,108638901,109519606,TRUE,151,1856,0.000276942,6.84982e-05,0.0271218,0.0695942,FALSE,NA,NA,NA,NA,NA,NA,2,NA
515,3,109519607,110935508,TRUE,230,2843,0.000315958,0.000164477,0.034447,0.002342,TRUE,-0.450463,-0.450463,FALSE,-1,0.24001,0.211075,2,NA
516,3,110935509,111693782,TRUE,185,1965,0.000228171,8.5172e-05,0.0672294,0.0429471,FALSE,NA,NA,NA,NA,NA,NA,2,NA
517,3,111693783,112408513,TRUE,184,1833,8.0007e-05,7.99734e-05,0.285989,0.052742,FALSE,NA,NA,NA,NA,NA,NA,2,NA
518,3,112408514,113657665,TRUE,302,2983,0.000432361,0.00013548,0.0150869,0.0177422,TRUE,-0.0753245,-0.0753245,FALSE,-1,0.69131,0.84087,2,NA
519,3,113657666,115649909,TRUE,521,3344,0.0011782,0.000698036,7.45217e-06,5.75485e-14,TRUE,0.209612,0.209612,FALSE,-0.09937,0.49291,0.167944,2,NA
520,3,115649910,116498570,TRUE,214,1904,0.000277278,7.83015e-05,0.0464077,0.0685161,FALSE,NA,NA,NA,NA,NA,NA,2,NA
521,3,116498571,117241644,TRUE,291,1896,0.000156918,0.000150597,0.199141,0.00890708,FALSE,NA,NA,NA,NA,NA,NA,2,NA
522,3,117241645,118086929,TRUE,188,2063,0.00055467,4.60772e-05,0.000417552,0.169479,FALSE,NA,NA,NA,NA,NA,NA,2,NA
523,3,118086930,118903053,TRUE,177,1855,0.000162508,1.5296e-05,0.133093,0.360545,FALSE,NA,NA,NA,NA,NA,NA,2,NA
524,3,118903054,119759983,TRUE,224,1961,0.00078329,9.88383e-05,1.26066e-05,0.0360321,TRUE,0.429629,0.429629,FALSE,-0.24606,1,0.162316,2,NA
525,3,119759984,120574477,TRUE,237,1932,0.000411964,0.000125116,0.0105053,0.0144475,TRUE,-0.00919546,-0.00919546,FALSE,-1,0.74291,0.979749,2,NA
526,3,120574478,121362442,TRUE,94,1713,9.56167e-05,0.000169874,0.18018,1.7832e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
527,3,121362443,122340832,TRUE,200,2181,9.93114e-06,0.00016015,0.461199,0.00162301,FALSE,NA,NA,NA,NA,NA,NA,2,NA
528,3,122340833,123518507,TRUE,311,2303,0.000564296,0.000275883,0.00291531,3.09966e-05,TRUE,-0.0568722,-0.0568722,FALSE,-0.78989,0.42882,0.820765,2,NA
529,3,123518508,124823006,TRUE,350,2997,0.000592434,0.00023087,0.00320364,0.000571626,TRUE,-0.0383674,-0.0383674,FALSE,-0.87969,0.49673,0.888876,2,NA
530,3,124823007,125475722,TRUE,156,1702,0.000338899,9.49508e-05,0.0104389,0.0224777,TRUE,NA,1.28666,TRUE,NA,NA,NA,2,NA
531,3,125475723,125992650,TRUE,126,1716,0.000295391,2.94708e-05,0.0122631,0.223566,FALSE,NA,NA,NA,NA,NA,NA,2,NA
532,3,125992651,127495173,TRUE,431,3587,0.000239133,0.000323733,0.148563,2.97698e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
533,3,127495174,129091975,TRUE,328,3027,0.000886677,0.000272984,2.41644e-05,5.44096e-05,TRUE,0.323404,0.323404,FALSE,-0.11834,0.72854,0.128839,2,NA
534,3,129091976,130242360,TRUE,220,2144,0.000228015,0.000123808,0.0851071,0.0137253,FALSE,NA,NA,NA,NA,NA,NA,2,NA
535,3,130242361,131373470,TRUE,200,1963,0.000404145,9.36088e-05,0.00743854,0.0413809,TRUE,0.57203,0.57203,FALSE,-0.28735,1,0.150244,2,NA
536,3,131373471,132124018,TRUE,169,2340,3.37547e-05,NA,0.392507,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"BIP"
537,3,132124019,132925967,TRUE,158,1816,0.000156241,0.000107233,0.129455,0.012208,FALSE,NA,NA,NA,NA,NA,NA,2,NA
538,3,132925968,133718493,TRUE,294,1805,0.000186215,0.000226755,0.160483,0.000328873,FALSE,NA,NA,NA,NA,NA,NA,2,NA
539,3,133718494,135288394,TRUE,442,3286,0.000491181,0.000342698,0.0196948,1.52298e-05,TRUE,-0.237191,-0.237191,FALSE,-1,0.30122,0.392912,2,NA
540,3,135288395,137372141,TRUE,292,3107,0.000669957,0.000246981,0.000525682,0.000125091,TRUE,0.0737715,0.0737715,FALSE,-0.53189,0.54458,0.76033,2,NA
541,3,137372142,138693846,TRUE,263,2099,NA,3.86444e-05,NA,0.245337,FALSE,NA,NA,NA,NA,NA,NA,1,"SCZ"
542,3,138693847,139831267,TRUE,290,2327,0.000116939,0.00024515,0.259451,0.000100039,FALSE,NA,NA,NA,NA,NA,NA,2,NA
543,3,139831268,141034637,TRUE,374,2522,0.000394086,0.000311847,0.0360838,1.7562e-05,TRUE,-0.511636,-0.511636,FALSE,-1,0.05707,0.0883639,2,NA
544,3,141034638,141898978,TRUE,262,1958,0.000412456,0.000135516,0.0132653,0.0118667,TRUE,-0.182289,-0.182289,FALSE,-1,0.5196,0.614668,2,NA
545,3,141898979,142976707,TRUE,250,1983,0.000793977,0.000220092,2.12486e-05,0.000171753,TRUE,0.315159,0.315159,FALSE,-0.14775,0.7391,0.157453,2,NA
546,3,142976708,144408821,TRUE,390,3215,0.000567303,0.000265139,0.00643972,0.000244717,TRUE,0.531603,0.531603,FALSE,-0.0024,1,0.0551003,2,NA
547,3,144408822,145211907,TRUE,164,1969,NA,0.000123256,NA,0.00593217,FALSE,NA,NA,NA,NA,NA,NA,1,"SCZ"
548,3,145211908,145903838,TRUE,186,2035,0.000392213,0.000106615,0.00709792,0.0212657,TRUE,0.100975,0.100975,FALSE,-1,0.88835,0.784833,2,NA
549,3,145903839,147358243,TRUE,327,3453,0.000767176,0.000188682,0.000190319,0.00269626,TRUE,1,1.12229,FALSE,0.58967,1,2.69867e-05,2,NA
550,3,147358244,148638308,TRUE,371,2903,0.000393829,3.13754e-05,0.0347513,0.315088,FALSE,NA,NA,NA,NA,NA,NA,2,NA
551,3,148638309,149998411,TRUE,424,3249,0.000775068,0.000230642,0.000666353,0.00139266,TRUE,-0.0575403,-0.0575403,FALSE,-0.83879,0.43687,0.826452,2,NA
552,3,149998412,151131307,TRUE,337,2237,5.76706e-05,0.000140602,0.378715,0.020007,FALSE,NA,NA,NA,NA,NA,NA,2,NA
553,3,151131308,151904021,TRUE,192,1933,0.000171609,8.47454e-05,0.130382,0.0480807,FALSE,NA,NA,NA,NA,NA,NA,2,NA
554,3,151904022,153406718,TRUE,347,3203,0.000817431,0.000341843,0.000115256,2.19679e-06,TRUE,0.297998,0.297998,FALSE,-0.13078,0.6865,0.14714,2,NA
555,3,153406719,155046423,TRUE,329,3547,0.000461357,0.000283752,0.0136145,3.53871e-05,TRUE,-0.136001,-0.136001,FALSE,-1,0.40122,0.625431,2,NA
556,3,155046424,155928190,TRUE,173,1885,0.000361089,0.000110372,0.00956669,0.0160721,TRUE,0.088914,0.088914,FALSE,-1,0.88502,0.810034,2,NA
557,3,155928191,156795410,TRUE,198,1909,0.000378762,7.00783e-05,0.0104296,0.0886994,FALSE,NA,NA,NA,NA,NA,NA,2,NA
558,3,156795411,157633700,TRUE,179,1895,0.000408172,9.09848e-05,0.0047927,0.036906,TRUE,0.967893,0.967893,FALSE,0.3505,1,0.0120871,2,NA
559,3,157633701,158460058,TRUE,86,1878,0.000229231,2.27086e-05,0.0179112,0.233939,FALSE,NA,NA,NA,NA,NA,NA,2,NA
560,3,158460059,159478751,TRUE,249,1845,NA,0.000175489,NA,0.00190777,FALSE,NA,NA,NA,NA,NA,NA,1,"SCZ"
561,3,159478752,160584961,TRUE,201,2046,0.000568733,0.000181922,0.000448338,0.000507325,TRUE,-0.0466317,-0.0466317,FALSE,-0.75427,0.43791,0.856984,2,NA
562,3,160584962,161628883,TRUE,159,2509,0.000787207,0.000104105,6.71616e-07,0.0145272,TRUE,0.662519,0.662519,FALSE,0.19772,1,0.0151383,2,NA
563,3,161628884,162622604,TRUE,149,3147,0.000568918,0.000106475,8.73005e-05,0.0102511,TRUE,-0.0403343,-0.0403343,FALSE,-0.92155,0.54115,0.890356,2,NA
564,3,162622605,163250112,TRUE,53,1897,0.000282413,NA,0.0012157,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"BIP"
565,3,163250113,164037360,TRUE,90,2077,0.000318821,6.40008e-05,0.00293062,0.0345648,TRUE,0.411769,0.411769,FALSE,-0.53685,1,0.287275,2,NA
566,3,164037361,165054911,TRUE,159,1984,0.000374118,0.000140302,0.00617356,0.00207,TRUE,0.230822,0.230822,FALSE,-0.60988,0.89777,0.466297,2,NA
567,3,165054912,165936511,TRUE,139,2369,9.50925e-05,0.000101315,0.227491,0.0139763,FALSE,NA,NA,NA,NA,NA,NA,2,NA
568,3,165936512,167118893,TRUE,162,3377,0.000205143,0.000188602,0.0762501,0.000117033,FALSE,NA,NA,NA,NA,NA,NA,2,NA
569,3,167118894,168972662,TRUE,390,3492,0.000437587,0.000319767,0.0251633,1.44909e-05,TRUE,0.121745,0.121745,FALSE,-0.64524,0.71946,0.669886,2,NA
570,3,168972663,170174578,TRUE,336,2310,0.000331422,0.000332473,0.0548221,2.88411e-06,FALSE,NA,NA,NA,NA,NA,NA,2,NA
571,3,170174579,171134849,TRUE,288,1887,0.000442428,NA,0.0113788,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"BIP"
572,3,171134850,172004760,TRUE,273,1901,0.000266881,2.31179e-05,0.0753928,0.33939,FALSE,NA,NA,NA,NA,NA,NA,2,NA
573,3,172004761,173415591,TRUE,449,2913,0.000721739,7.05025e-05,0.00159291,0.172783,FALSE,NA,NA,NA,NA,NA,NA,2,NA
574,3,173415592,174684707,TRUE,348,2822,0.000628766,0.000200393,0.00192563,0.00220694,TRUE,0.593987,0.593987,FALSE,0.05972,1,0.0365581,2,NA
575,3,174684708,175671424,TRUE,315,2502,0.000480891,0.000142757,0.00898544,0.0140734,TRUE,-0.157153,-0.157153,FALSE,-1,0.53921,0.655834,2,NA
576,3,175671425,176931163,TRUE,327,3161,0.000746012,0.000159843,0.00024178,0.00859408,TRUE,0.18382,0.18382,FALSE,-0.56665,0.74914,0.517939,2,NA
577,3,176931164,178110322,TRUE,394,2454,0.000615152,0.00039757,0.0036747,1.96215e-07,TRUE,0.291383,0.291383,FALSE,-0.18793,0.76331,0.199991,2,NA
578,3,178110323,179372165,TRUE,286,2571,0.000503411,0.000178948,0.00501913,0.00256531,TRUE,0.0241695,0.0241695,FALSE,-0.97902,0.62393,0.936935,2,NA
579,3,179372166,181424323,TRUE,388,3189,0.00111846,0.000336522,1.55009e-06,7.19141e-06,TRUE,0.242272,0.242272,FALSE,-0.1513,0.58746,0.199441,2,NA
580,3,181424324,183203155,TRUE,447,2967,0.000808574,0.000252896,0.000527782,0.000754895,TRUE,0.579394,0.579394,FALSE,0.10124,1,0.02243,2,NA
581,3,183203156,184524268,TRUE,522,3052,0.000543206,0.000281495,0.0176518,0.00050849,TRUE,0.110476,0.110476,FALSE,-0.77379,0.73789,0.715862,2,NA
582,3,184524269,185709996,TRUE,233,2178,0.000821274,6.05134e-05,6.48105e-06,0.132725,FALSE,NA,NA,NA,NA,NA,NA,2,NA
583,3,185709997,186602045,TRUE,412,1914,0.000177173,3.91884e-05,0.209786,0.288038,FALSE,NA,NA,NA,NA,NA,NA,2,NA
584,3,186602046,187939199,TRUE,607,3355,0.00108806,0.000252922,7.76509e-05,0.00285373,TRUE,0.145444,0.145444,FALSE,-0.51292,0.64005,0.558624,2,NA
585,3,187939200,189451805,TRUE,532,3361,0.000956054,0.000202267,0.000206001,0.00930992,TRUE,-0.190584,-0.190584,FALSE,-1,0.3376,0.493473,2,NA
586,3,189451806,190591293,TRUE,397,3185,0.000970239,0.000249439,2.28794e-05,0.000499524,TRUE,-0.134766,-0.134766,FALSE,-0.78067,0.28628,0.551561,2,NA
587,3,190591294,191229357,TRUE,152,1877,0.000518306,5.2581e-05,0.000292247,0.117403,FALSE,NA,NA,NA,NA,NA,NA,2,NA
588,3,191229358,192049688,TRUE,239,2558,0.000563977,0.000114843,0.00108729,0.0219178,TRUE,0.330173,0.330173,FALSE,-0.51188,1,0.318075,2,NA
589,3,192049689,193122090,TRUE,315,2355,2.72893e-05,0.000213684,0.43396,0.000913679,FALSE,NA,NA,NA,NA,NA,NA,2,NA
590,3,193122091,194217140,TRUE,491,2724,0.00034976,NA,0.0771395,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"BIP"
591,3,194217141,195196789,TRUE,452,3340,0.000689351,0.000217881,0.00254576,0.0030083,TRUE,-0.27973,-0.27973,FALSE,-1,0.27549,0.333409,2,NA
592,3,195196790,195710290,TRUE,168,857,NA,0.00017258,NA,0.000568179,FALSE,NA,NA,NA,NA,NA,NA,1,"SCZ"
593,3,195710291,196383152,TRUE,285,1676,0.000379868,0.000135437,0.0237918,0.0155579,TRUE,-0.0280696,-0.0280696,FALSE,-1,0.80342,0.942456,2,NA
594,3,196383153,197147990,TRUE,300,1777,0.000568904,0.000235532,0.00245109,0.00024205,TRUE,-0.20028,-0.20028,FALSE,-1,0.30816,0.448482,2,NA
595,3,197147991,197962380,TRUE,197,1412,0.000245601,1.27017e-06,0.0607065,0.4766,FALSE,NA,NA,NA,NA,NA,NA,2,NA
596,4,10227,812415,TRUE,163,1704,0.000297577,NA,0.0224832,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"BIP"
597,4,812416,1529267,TRUE,204,1901,0.000205542,0.000173348,0.0970867,0.000968092,FALSE,NA,NA,NA,NA,NA,NA,2,NA
598,4,1529268,2468935,TRUE,305,1963,8.06787e-06,0.000178528,0.47241,0.00336845,FALSE,NA,NA,NA,NA,NA,NA,2,NA
599,4,2468936,3549229,TRUE,328,2414,0.000496508,0.000136933,0.0086984,0.0205365,TRUE,0.238294,0.238294,FALSE,-0.83137,1,0.511995,2,NA
600,4,3549230,4266178,TRUE,357,1972,0.000471834,0.00016744,0.0140197,0.00915806,TRUE,-0.69795,-0.69795,FALSE,-1,-0.00123,0.0469337,2,NA
601,4,4266179,5051834,TRUE,388,2304,0.00048081,0.000102405,0.0157911,0.0740742,FALSE,NA,NA,NA,NA,NA,NA,2,NA
602,4,5051835,5972709,TRUE,463,2953,0.000353323,6.81349e-05,0.0704344,0.185356,FALSE,NA,NA,NA,NA,NA,NA,2,NA
603,4,5972710,7135819,TRUE,676,3163,0.00087561,0.000231536,0.00165418,0.00818267,TRUE,0.563039,0.563039,FALSE,-0.00704,1,0.0580241,2,NA
604,4,7135820,7726034,TRUE,565,2378,0.000607026,0.000116614,0.0119541,0.0864389,FALSE,NA,NA,NA,NA,NA,NA,2,NA
605,4,7726035,8309826,TRUE,391,1868,0.00045735,3.30218e-05,0.0207083,0.312449,FALSE,NA,NA,NA,NA,NA,NA,2,NA
606,4,8309827,8882616,TRUE,205,1358,4.08931e-05,5.38779e-06,0.385136,0.444968,FALSE,NA,NA,NA,NA,NA,NA,2,NA
607,4,8882617,9482867,TRUE,17,308,NA,5.67483e-08,NA,0.452889,FALSE,NA,NA,NA,NA,NA,NA,1,"SCZ"
608,4,9482868,9916156,TRUE,83,1521,1.78726e-05,1.22666e-06,0.40922,0.464359,FALSE,NA,NA,NA,NA,NA,NA,2,NA
609,4,9916157,10370666,TRUE,109,1770,0.000170774,4.58652e-05,0.0736943,0.111221,FALSE,NA,NA,NA,NA,NA,NA,2,NA
610,4,10370667,11050119,TRUE,226,1853,0.000225971,7.95743e-05,0.0912378,0.0752204,FALSE,NA,NA,NA,NA,NA,NA,2,NA
611,4,11050120,12209028,TRUE,396,3320,0.000246919,0.000393507,0.130189,2.82627e-07,FALSE,NA,NA,NA,NA,NA,NA,2,NA
612,4,12209029,13127576,TRUE,264,2669,0.000481112,0.000332314,0.00541139,2.31197e-07,TRUE,0.384096,0.384096,FALSE,-0.1055,0.93096,0.108536,2,NA
613,4,13127577,14395886,TRUE,456,3534,0.000544125,0.00028776,0.0130381,0.000217174,TRUE,0.203718,0.203718,FALSE,-0.52403,0.81963,0.478425,2,NA
614,4,14395887,14967147,TRUE,171,1788,0.000302632,0.000244163,0.0222686,2.88969e-06,TRUE,0.765984,0.765984,FALSE,0.2842,1,0.00811915,2,NA
615,4,14967148,15910801,TRUE,258,2219,0.000159153,0.000251605,0.180604,3.20927e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
616,4,15910802,17290236,TRUE,510,3363,0.00029734,0.000162875,0.116017,0.0240373,FALSE,NA,NA,NA,NA,NA,NA,2,NA
617,4,17290237,18753263,TRUE,327,3454,0.000437086,0.000170269,0.0183732,0.00915097,TRUE,-0.540694,-0.540694,FALSE,-1,0.14807,0.134139,2,NA
618,4,18753264,20086838,TRUE,249,3664,0.00105827,7.24832e-05,5.50867e-08,0.0983365,FALSE,NA,NA,NA,NA,NA,NA,2,NA
619,4,20086839,21416380,TRUE,450,3428,0.000663532,0.000272605,0.00344423,0.000400072,TRUE,0.0750404,0.0750404,FALSE,-0.66866,0.6068,0.780019,2,NA
620,4,21416381,22835185,TRUE,354,3611,0.000237776,0.000213101,0.126758,0.00143914,FALSE,NA,NA,NA,NA,NA,NA,2,NA
621,4,22835186,23858350,TRUE,284,1973,0.000770323,0.000403712,7.55262e-05,3.78507e-09,TRUE,-0.0918911,-0.0918911,FALSE,-0.55271,0.26386,0.622231,2,NA
622,4,23858351,24764724,TRUE,359,1994,0.000861998,0.000259957,7.18775e-05,0.00018042,TRUE,0.249186,0.249186,FALSE,-0.24193,0.68021,0.27158,2,NA
623,4,24764725,25832018,TRUE,401,2700,0.000958064,0.000117098,3.1473e-05,0.0540493,FALSE,NA,NA,NA,NA,NA,NA,2,NA
624,4,25832019,27385580,TRUE,505,2749,0.0011622,0.000241841,7.89837e-06,0.00243628,TRUE,0.486429,0.486429,FALSE,0.02065,1,0.0388538,2,NA
625,4,27385581,28177792,TRUE,252,2402,0.000203146,NA,0.123749,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"BIP"
626,4,28177793,28927438,TRUE,162,2149,0.000272981,5.71176e-05,0.0307,0.105261,FALSE,NA,NA,NA,NA,NA,NA,2,NA
627,4,28927439,29758399,TRUE,180,2149,0.000154279,8.02724e-05,0.146083,0.0506607,FALSE,NA,NA,NA,NA,NA,NA,2,NA
628,4,29758400,30455555,TRUE,172,2027,0.000218967,0.00010398,0.07346,0.0182172,FALSE,NA,NA,NA,NA,NA,NA,2,NA
629,4,30455556,31395092,TRUE,246,2667,0.000768684,0.000164,3.08349e-05,0.00294552,TRUE,-0.198127,-0.198127,FALSE,-1,0.28409,0.437219,2,NA
630,4,31395093,32260117,TRUE,187,2336,0.000605095,0.000131405,0.000162592,0.0066154,TRUE,0.431848,0.431848,FALSE,-0.1582,1,0.129209,2,NA
631,4,32260118,32746820,TRUE,108,1720,0.000262434,NA,0.0155944,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"BIP"
632,4,32746821,33640822,TRUE,143,1835,0.00023063,7.99631e-06,0.0461359,0.415592,FALSE,NA,NA,NA,NA,NA,NA,2,NA
633,4,33640823,34721845,TRUE,88,2028,0.000409544,8.47091e-05,0.000288087,0.00937578,TRUE,0.0987176,0.0987176,FALSE,-0.78435,0.7419,0.751924,2,NA
634,4,34721846,35411236,TRUE,172,1652,NA,7.36496e-05,NA,0.06148,FALSE,NA,NA,NA,NA,NA,NA,1,"SCZ"
635,4,35411237,35993838,TRUE,113,2224,NA,0.000129007,NA,0.00103508,FALSE,NA,NA,NA,NA,NA,NA,1,"SCZ"
636,4,35993839,36671801,TRUE,172,1936,0.00012278,9.33287e-05,0.193095,0.0270538,FALSE,NA,NA,NA,NA,NA,NA,2,NA
637,4,36671802,37880860,TRUE,400,3771,0.000667917,0.000328176,0.00198698,1.02543e-05,TRUE,0.269964,0.269964,FALSE,-0.27132,0.7515,0.253146,2,NA
638,4,37880861,38984838,TRUE,445,3056,0.000685417,0.000252102,0.00248836,0.000764227,TRUE,-0.091804,-0.091804,FALSE,-0.97241,0.42406,0.734465,2,NA
639,4,38984839,39820061,TRUE,213,1828,0.0003866,8.83395e-05,0.0111932,0.0481432,TRUE,-0.0280924,-0.0280924,FALSE,-1,0.85697,0.946345,2,NA
640,4,39820062,40590541,TRUE,319,1865,0.000255075,0.000258635,0.0981732,9.40059e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
641,4,40590542,41360937,TRUE,242,2007,5.92547e-05,0.000114636,0.355026,0.0230909,FALSE,NA,NA,NA,NA,NA,NA,2,NA
642,4,41360938,42189251,TRUE,198,1914,0.000391865,0.000124748,0.00875096,0.00969308,TRUE,0.126518,0.126518,FALSE,-0.95506,0.8758,0.717603,2,NA
643,4,42189252,43192424,TRUE,255,3110,0.000734667,0.000271206,6.92061e-05,9.4258e-06,TRUE,0.464855,0.464855,FALSE,0.05325,0.88298,0.0297763,2,NA
644,4,43192425,43962561,TRUE,155,1984,0.000484205,0.000146177,0.000716572,0.00195867,TRUE,0.321084,0.321084,FALSE,-0.33647,0.9135,0.258356,2,NA
645,4,43962562,45186767,TRUE,240,3454,0.000831857,8.5706e-05,7.14274e-06,0.0633825,FALSE,NA,NA,NA,NA,NA,NA,2,NA
646,4,45186768,46358360,TRUE,232,2198,0.000253195,0.000244808,0.0697731,2.48748e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
647,4,46358361,47408265,TRUE,226,1797,0.000571323,0.00024202,0.00072372,2.36574e-05,TRUE,0.484522,0.484522,FALSE,0.01853,0.97429,0.042112,2,NA
648,4,47408266,49325138,TRUE,303,3110,0.000960759,0.00040867,3.13586e-06,4.02787e-09,TRUE,0.31168,0.31168,FALSE,-0.03519,0.62723,0.0697474,2,NA
649,4,49325139,53879571,TRUE,209,1795,0.00037478,0.000197605,0.0124391,0.00022727,TRUE,0.357158,0.357158,FALSE,-0.33364,1,0.233955,2,NA
650,4,53879572,54659778,TRUE,185,1740,0.000473972,7.32365e-05,0.00175588,0.0689749,FALSE,NA,NA,NA,NA,NA,NA,2,NA
651,4,54659779,55681701,TRUE,322,1963,0.000892219,0.00033112,1.86594e-05,1.48334e-06,TRUE,0.275268,0.275268,FALSE,-0.13538,0.64035,0.159708,2,NA
652,4,55681702,57103100,TRUE,407,3668,0.000166539,0.000108253,0.223174,0.069225,FALSE,NA,NA,NA,NA,NA,NA,2,NA
653,4,57103101,58011085,TRUE,309,2522,0.000728414,6.49893e-05,0.000234543,0.147939,FALSE,NA,NA,NA,NA,NA,NA,2,NA
654,4,58011086,58940256,TRUE,288,2365,0.000595403,4.44584e-05,0.00137444,0.224243,FALSE,NA,NA,NA,NA,NA,NA,2,NA
655,4,58940257,59692948,TRUE,172,2137,0.000297756,6.78023e-05,0.0240635,0.0754039,FALSE,NA,NA,NA,NA,NA,NA,2,NA
656,4,59692949,60746709,TRUE,232,2893,0.000587984,9.41029e-05,0.000610743,0.0458155,TRUE,0.601865,0.601865,FALSE,-0.08067,1,0.0883066,2,NA
657,4,60746710,61971161,TRUE,218,3668,0.000246115,0.000125274,0.0690338,0.0119896,FALSE,NA,NA,NA,NA,NA,NA,2,NA
658,4,61971162,63337954,TRUE,354,2732,0.00111509,0.000183402,6.58251e-07,0.0046165,TRUE,0.745295,0.745295,FALSE,0.34921,1,0.00167956,2,NA
659,4,63337955,64117431,TRUE,180,2215,0.000407428,0.000117192,0.00493675,0.0117643,TRUE,0.17161,0.17161,FALSE,-0.90723,0.93658,0.61842,2,NA
660,4,64117432,65563100,TRUE,224,3587,9.48288e-05,0.000151303,0.274336,0.0038774,FALSE,NA,NA,NA,NA,NA,NA,2,NA
