"locus","chr","start","stop","processed","K","n_snps","h2_ASD","h2_SCZ","p_ASD","p_SCZ","gate_pass","rho_hat","rho_raw","paramlim_drop","rho_lower","rho_upper","bivar_p"
534,3,129091976,130242360,TRUE,192,2060,NA,0.000296997,NA,0.030431,FALSE,NA,NA,NA,NA,NA,NA
535,3,130242361,131373470,TRUE,174,1903,NA,0.000365877,NA,0.00904293,FALSE,NA,NA,NA,NA,NA,NA
536,3,131373471,132124018,TRUE,148,2279,NA,8.71959e-06,NA,0.458372,FALSE,NA,NA,NA,NA,NA,NA
537,3,132124019,132925967,TRUE,152,1761,NA,0.000130585,NA,0.164587,FALSE,NA,NA,NA,NA,NA,NA
538,3,132925968,133718493,TRUE,280,1751,0.000206681,0.000215343,0.334159,0.121211,FALSE,NA,NA,NA,NA,NA,NA
539,3,133718494,135288394,TRUE,418,3195,0.000355905,0.00036616,0.278815,0.0544473,FALSE,NA,NA,NA,NA,NA,NA
540,3,135288395,137372141,TRUE,281,3043,0.000359407,0.000640502,0.236536,0.000683244,FALSE,NA,NA,NA,NA,NA,NA
541,3,137372142,138693846,TRUE,244,2032,7.02596e-05,NA,0.429784,NA,FALSE,NA,NA,NA,NA,NA,NA
542,3,138693847,139831267,TRUE,280,2276,0.000299892,NA,0.272206,NA,FALSE,NA,NA,NA,NA,NA,NA
543,3,139831268,141034637,TRUE,338,2411,0.00010656,0.000372735,0.41501,0.0364646,FALSE,NA,NA,NA,NA,NA,NA
544,3,141034638,141898978,TRUE,238,1883,NA,0.000283401,NA,0.0511272,FALSE,NA,NA,NA,NA,NA,NA
545,3,141898979,142976707,TRUE,238,1950,NA,0.0007704,NA,2.34159e-05,FALSE,NA,NA,NA,NA,NA,NA
546,3,142976708,144408821,TRUE,370,3086,NA,0.000407293,NA,0.0304687,FALSE,NA,NA,NA,NA,NA,NA
547,3,144408822,145211907,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
548,3,145211908,145903838,TRUE,175,1993,NA,0.000261382,NA,0.0411415,FALSE,NA,NA,NA,NA,NA,NA
549,3,145903839,147358243,TRUE,318,3332,NA,0.000591434,NA,0.00217867,FALSE,NA,NA,NA,NA,NA,NA
550,3,147358244,148638308,TRUE,300,2680,0.000626657,0.000334758,0.119554,0.0426673,FALSE,NA,NA,NA,NA,NA,NA
551,3,148638309,149998411,TRUE,394,3099,NA,0.000445276,NA,0.0238738,FALSE,NA,NA,NA,NA,NA,NA
552,3,149998412,151131307,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
553,3,151131308,151904021,TRUE,187,1880,NA,0.000125646,NA,0.196742,FALSE,NA,NA,NA,NA,NA,NA
554,3,151904022,153406718,TRUE,337,3131,NA,0.00084151,NA,6.23279e-05,FALSE,NA,NA,NA,NA,NA,NA
555,3,153406719,155046423,TRUE,291,3395,NA,0.000469407,NA,0.00879936,FALSE,NA,NA,NA,NA,NA,NA
556,3,155046424,155928190,TRUE,167,1852,NA,0.000399712,NA,0.00455071,FALSE,NA,NA,NA,NA,NA,NA
557,3,155928191,156795410,TRUE,184,1849,NA,0.00030863,NA,0.0239305,FALSE,NA,NA,NA,NA,NA,NA
558,3,156795411,157633700,TRUE,171,1864,0.000291962,0.000360523,0.226836,0.00907492,FALSE,NA,NA,NA,NA,NA,NA
559,3,157633701,158460058,TRUE,84,1852,9.86832e-05,0.000242318,0.345337,0.0129606,FALSE,NA,NA,NA,NA,NA,NA
560,3,158460059,159478751,TRUE,222,1788,0.000321445,0.000140966,0.234679,0.19255,FALSE,NA,NA,NA,NA,NA,NA
561,3,159478752,160584961,TRUE,182,1985,NA,0.000506755,NA,0.000862841,FALSE,NA,NA,NA,NA,NA,NA
562,3,160584962,161628883,TRUE,151,2435,0.000435903,0.000729541,0.124481,1.76523e-06,FALSE,NA,NA,NA,NA,NA,NA
563,3,161628884,162622604,TRUE,145,3121,0.000538765,0.000587498,0.0764902,4.77217e-05,FALSE,NA,NA,NA,NA,NA,NA
564,3,162622605,163250112,TRUE,48,1866,NA,0.000249509,NA,0.00228087,FALSE,NA,NA,NA,NA,NA,NA
565,3,163250113,164037360,TRUE,88,2052,0.000137681,0.000280618,0.301566,0.00643565,FALSE,NA,NA,NA,NA,NA,NA
566,3,164037361,165054911,TRUE,149,1897,5.16266e-05,0.00022895,0.429964,0.0490785,FALSE,NA,NA,NA,NA,NA,NA
567,3,165054912,165936511,TRUE,128,2272,0.000154978,3.11054e-05,0.314772,0.386161,FALSE,NA,NA,NA,NA,NA,NA
568,3,165936512,167118893,TRUE,157,3339,0.000229703,0.000223629,0.265884,0.0579241,FALSE,NA,NA,NA,NA,NA,NA
569,3,167118894,168972662,TRUE,345,3366,0.000601269,0.000484536,0.144696,0.0112257,FALSE,NA,NA,NA,NA,NA,NA
570,3,168972663,170174578,TRUE,313,2233,NA,0.000237933,NA,0.112554,FALSE,NA,NA,NA,NA,NA,NA
571,3,170174579,171134849,TRUE,275,1852,NA,0.000346693,NA,0.0320093,FALSE,NA,NA,NA,NA,NA,NA
572,3,171134850,172004760,TRUE,234,1808,NA,0.000229899,NA,0.089519,FALSE,NA,NA,NA,NA,NA,NA
573,3,172004761,173415591,TRUE,372,2746,NA,0.000667963,NA,0.00141041,FALSE,NA,NA,NA,NA,NA,NA
574,3,173415592,174684707,TRUE,310,2705,NA,0.000307602,NA,0.0589123,FALSE,NA,NA,NA,NA,NA,NA
575,3,174684708,175671424,TRUE,252,2363,0.000448405,0.000377467,0.175834,0.0183557,FALSE,NA,NA,NA,NA,NA,NA
576,3,175671425,176931163,TRUE,293,3050,NA,0.000655561,NA,0.000573265,FALSE,NA,NA,NA,NA,NA,NA
577,3,176931164,178110322,TRUE,366,2377,NA,0.00057631,NA,0.00449252,FALSE,NA,NA,NA,NA,NA,NA
578,3,178110323,179372165,TRUE,266,2508,NA,0.000458298,NA,0.00734326,FALSE,NA,NA,NA,NA,NA,NA
579,3,179372166,181424323,TRUE,352,3072,0.00156198,0.00113744,0.00480386,3.92123e-07,TRUE,0.246954,0.246954,FALSE,-0.23794,0.84525,0.284751
580,3,181424324,183203155,TRUE,335,2576,NA,0.000722564,NA,0.000388586,FALSE,NA,NA,NA,NA,NA,NA
581,3,183203156,184524268,TRUE,475,2937,NA,0.000516573,NA,0.0178877,FALSE,NA,NA,NA,NA,NA,NA
582,3,184524269,185709996,TRUE,220,2140,NA,0.00076103,NA,1.50611e-05,FALSE,NA,NA,NA,NA,NA,NA
583,3,185709997,186602045,TRUE,363,1823,NA,0.000343661,NA,0.0532048,FALSE,NA,NA,NA,NA,NA,NA
584,3,186602046,187939199,TRUE,536,3155,NA,0.000852042,NA,0.000702326,FALSE,NA,NA,NA,NA,NA,NA
585,3,187939200,189451805,TRUE,416,2933,NA,0.000975928,NA,2.69864e-05,FALSE,NA,NA,NA,NA,NA,NA
586,3,189451806,190591293,TRUE,341,3001,NA,0.000868951,NA,4.12866e-05,FALSE,NA,NA,NA,NA,NA,NA
587,3,190591294,191229357,TRUE,136,1788,0.000342876,0.000354442,0.166325,0.00509311,FALSE,NA,NA,NA,NA,NA,NA
588,3,191229358,192049688,TRUE,220,2476,NA,0.000406602,NA,0.00897267,FALSE,NA,NA,NA,NA,NA,NA
589,3,192049689,193122090,TRUE,253,2216,NA,0.000153012,NA,0.187349,FALSE,NA,NA,NA,NA,NA,NA
590,3,193122091,194217140,TRUE,350,2344,NA,0.000463609,NA,0.0146127,FALSE,NA,NA,NA,NA,NA,NA
591,3,194217141,195196789,TRUE,405,3214,NA,0.00061485,NA,0.00404558,FALSE,NA,NA,NA,NA,NA,NA
592,3,195196790,195710290,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
593,3,195710291,196383152,TRUE,259,1610,NA,0.00040021,NA,0.0148763,FALSE,NA,NA,NA,NA,NA,NA
594,3,196383153,197147990,TRUE,281,1729,NA,0.000575397,NA,0.00169291,FALSE,NA,NA,NA,NA,NA,NA
595,3,197147991,197962380,TRUE,159,1290,NA,0.00025825,NA,0.0363629,FALSE,NA,NA,NA,NA,NA,NA
596,4,10227,812415,TRUE,134,1558,0.00040888,0.000319867,0.125512,0.00939119,FALSE,NA,NA,NA,NA,NA,NA
597,4,812416,1529267,TRUE,185,1798,0.000225145,0.00025851,0.285272,0.0461567,FALSE,NA,NA,NA,NA,NA,NA
598,4,1529268,2468935,TRUE,260,1858,0.00116901,NA,0.0119179,NA,FALSE,NA,NA,NA,NA,NA,NA
599,4,2468936,3549229,TRUE,321,2365,NA,0.000459541,NA,0.0126256,FALSE,NA,NA,NA,NA,NA,NA
600,4,3549230,4266178,TRUE,164,984,NA,0.000128464,NA,0.175688,FALSE,NA,NA,NA,NA,NA,NA
601,4,4266179,5051834,TRUE,369,2248,NA,0.000392453,NA,0.0343952,FALSE,NA,NA,NA,NA,NA,NA
602,4,5051835,5972709,TRUE,401,2745,0.000853906,0.000356776,0.0840222,0.0553118,FALSE,NA,NA,NA,NA,NA,NA
603,4,5972710,7135819,TRUE,553,2799,NA,0.000820091,NA,0.00123225,FALSE,NA,NA,NA,NA,NA,NA
604,4,7135820,7726034,TRUE,495,2210,0.000557523,0.000250933,0.203569,0.150566,FALSE,NA,NA,NA,NA,NA,NA
605,4,7726035,8309826,TRUE,358,1779,NA,0.000516148,NA,0.00849426,FALSE,NA,NA,NA,NA,NA,NA
606,4,8309827,8882616,TRUE,175,1281,NA,2.24309e-05,NA,0.424558,FALSE,NA,NA,NA,NA,NA,NA
607,4,8882617,9482867,TRUE,12,278,1.45921e-05,NA,0.392998,NA,FALSE,NA,NA,NA,NA,NA,NA
608,4,9482868,9916156,TRUE,69,1459,NA,3.96481e-05,NA,0.314184,FALSE,NA,NA,NA,NA,NA,NA
609,4,9916157,10370666,TRUE,102,1731,0.000131491,0.000153069,0.320962,0.0882662,FALSE,NA,NA,NA,NA,NA,NA
610,4,10370667,11050119,TRUE,215,1777,NA,0.000216576,NA,0.0939176,FALSE,NA,NA,NA,NA,NA,NA
611,4,11050120,12209028,TRUE,362,3213,NA,0.000275922,NA,0.0952438,FALSE,NA,NA,NA,NA,NA,NA
612,4,12209029,13127576,TRUE,250,2597,0.000249331,0.000506416,0.294982,0.00302264,FALSE,NA,NA,NA,NA,NA,NA
613,4,13127577,14395886,TRUE,406,3371,NA,0.000615517,NA,0.00411441,FALSE,NA,NA,NA,NA,NA,NA
614,4,14395887,14967147,TRUE,150,1739,0.000185143,0.000193297,0.299895,0.079232,FALSE,NA,NA,NA,NA,NA,NA
615,4,14967148,15910801,TRUE,243,2180,0.000510991,0.000158573,0.141904,0.174117,FALSE,NA,NA,NA,NA,NA,NA
616,4,15910802,17290236,TRUE,452,3230,NA,0.000328893,NA,0.0814005,FALSE,NA,NA,NA,NA,NA,NA
617,4,17290237,18753263,TRUE,311,3128,1.55743e-05,0.000440667,0.47781,0.0144979,FALSE,NA,NA,NA,NA,NA,NA
618,4,18753264,20086838,TRUE,237,3604,NA,0.00105686,NA,3.18178e-08,FALSE,NA,NA,NA,NA,NA,NA
619,4,20086839,21416380,TRUE,427,3276,0.000742674,0.000731343,0.120768,0.00113021,FALSE,NA,NA,NA,NA,NA,NA
620,4,21416381,22835185,TRUE,323,3489,NA,0.000205023,NA,0.148865,FALSE,NA,NA,NA,NA,NA,NA
621,4,22835186,23858350,TRUE,256,1905,NA,0.000719296,NA,9.85052e-05,FALSE,NA,NA,NA,NA,NA,NA
622,4,23858351,24764724,TRUE,330,1919,0.000258763,0.00071137,0.313024,0.000458254,FALSE,NA,NA,NA,NA,NA,NA
623,4,24764725,25832018,TRUE,341,2562,0.000948771,0.000793975,0.0501673,0.000149804,FALSE,NA,NA,NA,NA,NA,NA
624,4,25832019,27385580,TRUE,447,2588,NA,0.00113041,NA,4.10697e-06,FALSE,NA,NA,NA,NA,NA,NA
625,4,27385581,28177792,TRUE,237,2295,NA,0.000247855,NA,0.0741391,FALSE,NA,NA,NA,NA,NA,NA
626,4,28177793,28927438,TRUE,151,2094,NA,0.000278935,NA,0.0244534,FALSE,NA,NA,NA,NA,NA,NA
627,4,28927439,29758399,TRUE,160,2090,NA,0.000134243,NA,0.163959,FALSE,NA,NA,NA,NA,NA,NA
628,4,29758400,30455555,TRUE,146,1901,0.000231453,0.000198531,0.25721,0.0748784,FALSE,NA,NA,NA,NA,NA,NA
629,4,30455556,31395092,TRUE,209,2572,NA,0.000647429,NA,0.000117744,FALSE,NA,NA,NA,NA,NA,NA
630,4,31395093,32260117,TRUE,159,2198,NA,0.000583898,NA,9.35907e-05,FALSE,NA,NA,NA,NA,NA,NA
631,4,32260118,32746820,TRUE,85,1652,NA,0.000159481,NA,0.0631398,FALSE,NA,NA,NA,NA,NA,NA
632,4,32746821,33640822,TRUE,87,1659,0.000182667,0.000212375,0.250663,0.0258653,FALSE,NA,NA,NA,NA,NA,NA
633,4,33640823,34721845,TRUE,64,1935,0.000157012,0.000327668,0.248607,0.000683373,FALSE,NA,NA,NA,NA,NA,NA
634,4,34721846,35411236,TRUE,157,1593,NA,3.24113e-05,NA,0.392868,FALSE,NA,NA,NA,NA,NA,NA
635,4,35411237,35993838,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
636,4,35993839,36671801,TRUE,170,1911,0.000172432,0.000151844,0.321712,0.143947,FALSE,NA,NA,NA,NA,NA,NA
637,4,36671802,37880860,TRUE,384,3710,NA,0.000558124,NA,0.00652772,FALSE,NA,NA,NA,NA,NA,NA
638,4,37880861,38984838,TRUE,430,2953,NA,0.000668077,NA,0.00260626,FALSE,NA,NA,NA,NA,NA,NA
639,4,38984839,39820061,TRUE,202,1801,NA,0.000444967,NA,0.00387645,FALSE,NA,NA,NA,NA,NA,NA
640,4,39820062,40590541,TRUE,290,1803,NA,0.000102159,NA,0.284204,FALSE,NA,NA,NA,NA,NA,NA
641,4,40590542,41360937,TRUE,239,1843,NA,5.61979e-05,NA,0.359959,FALSE,NA,NA,NA,NA,NA,NA
642,4,41360938,42189251,TRUE,169,1795,0.000400081,0.000326423,0.156186,0.0151202,FALSE,NA,NA,NA,NA,NA,NA
643,4,42189252,43192424,TRUE,240,3042,0.000417507,0.000653374,0.186423,0.00021711,FALSE,NA,NA,NA,NA,NA,NA
644,4,43192425,43962561,TRUE,148,1933,5.35868e-05,0.000459464,0.427682,0.000949697,FALSE,NA,NA,NA,NA,NA,NA
645,4,43962562,45186767,TRUE,233,3366,0.000605326,0.000809619,0.099883,8.57523e-06,FALSE,NA,NA,NA,NA,NA,NA
646,4,45186768,46358360,TRUE,218,2145,0.000401015,0.000253957,0.184571,0.0633699,FALSE,NA,NA,NA,NA,NA,NA
647,4,46358361,47408265,TRUE,220,1773,0.000751163,0.000625691,0.0534781,0.00023183,FALSE,NA,NA,NA,NA,NA,NA
648,4,47408266,49325138,TRUE,289,3042,NA,0.000695031,NA,0.000283569,FALSE,NA,NA,NA,NA,NA,NA
649,4,49325139,53879571,TRUE,160,1635,0.000148845,0.00020449,0.338175,0.0741471,FALSE,NA,NA,NA,NA,NA,NA
650,4,53879572,54659778,TRUE,175,1675,NA,0.000503581,NA,0.000772093,FALSE,NA,NA,NA,NA,NA,NA
651,4,54659779,55681701,TRUE,299,1899,NA,0.000854682,NA,2.11929e-05,FALSE,NA,NA,NA,NA,NA,NA
652,4,55681702,57103100,TRUE,383,3417,NA,0.00022679,NA,0.145054,FALSE,NA,NA,NA,NA,NA,NA
653,4,57103101,58011085,TRUE,291,2439,NA,0.000866483,NA,1.3344e-05,FALSE,NA,NA,NA,NA,NA,NA
654,4,58011086,58940256,TRUE,280,2317,NA,0.000480734,NA,0.00638903,FALSE,NA,NA,NA,NA,NA,NA
655,4,58940257,59692948,TRUE,163,2094,0.000219677,0.00021179,0.277779,0.0693853,FALSE,NA,NA,NA,NA,NA,NA
656,4,59692949,60746709,TRUE,224,2841,NA,0.000543331,NA,0.00110766,FALSE,NA,NA,NA,NA,NA,NA
657,4,60746710,61971161,TRUE,195,3564,0.000304435,0.000286079,0.232165,0.0361349,FALSE,NA,NA,NA,NA,NA,NA
658,4,61971162,63337954,TRUE,339,2665,9.69259e-05,0.001247,0.421769,2.62223e-08,FALSE,NA,NA,NA,NA,NA,NA
659,4,63337955,64117431,TRUE,161,2096,NA,0.000473839,NA,0.000948343,FALSE,NA,NA,NA,NA,NA,NA
660,4,64117432,65563100,TRUE,211,3447,NA,6.65839e-05,NA,0.327254,FALSE,NA,NA,NA,NA,NA,NA
661,4,65563101,66597446,TRUE,219,2713,NA,0.000516322,NA,0.00158106,FALSE,NA,NA,NA,NA,NA,NA
662,4,66597447,67616362,TRUE,183,2318,NA,0.000195509,NA,0.0960952,FALSE,NA,NA,NA,NA,NA,NA
663,4,67616363,68742859,TRUE,208,2605,NA,0.000192106,NA,0.113633,FALSE,NA,NA,NA,NA,NA,NA
664,4,68742860,69603368,TRUE,116,1497,NA,3.56358e-05,NA,0.365589,FALSE,NA,NA,NA,NA,NA,NA
665,4,69603369,70516836,TRUE,100,2938,NA,0.000265122,NA,0.0121575,FALSE,NA,NA,NA,NA,NA,NA
666,4,70516837,71468300,TRUE,164,2812,0.000439488,5.4095e-05,0.131743,0.33751,FALSE,NA,NA,NA,NA,NA,NA
667,4,71468301,73258294,TRUE,234,2995,0.000359102,0.000121926,0.216885,0.22961,FALSE,NA,NA,NA,NA,NA,NA
668,4,73258295,74885900,TRUE,242,2920,NA,4.41472e-05,NA,0.38766,FALSE,NA,NA,NA,NA,NA,NA
669,4,74885901,76497358,TRUE,302,3326,NA,0.000493993,NA,0.00696435,FALSE,NA,NA,NA,NA,NA,NA
670,4,76497359,78045637,TRUE,347,3666,0.000186282,0.000739268,0.363027,0.000362371,FALSE,NA,NA,NA,NA,NA,NA
671,4,78045638,78967715,TRUE,187,2180,NA,0.000549843,NA,0.00042958,FALSE,NA,NA,NA,NA,NA,NA
672,4,78967716,79880101,TRUE,172,1847,NA,0.000464497,NA,0.0015397,FALSE,NA,NA,NA,NA,NA,NA
673,4,79880102,81206182,TRUE,247,2605,1.83567e-05,0.000485146,0.472802,0.00399959,FALSE,NA,NA,NA,NA,NA,NA
674,4,81206183,82655623,TRUE,232,2459,0.000217241,0.000440013,0.311435,0.00671899,FALSE,NA,NA,NA,NA,NA,NA
675,4,82655624,84003062,TRUE,283,2994,0.000138691,0.000548429,0.383543,0.00252299,FALSE,NA,NA,NA,NA,NA,NA
676,4,84003063,85437805,TRUE,274,2608,NA,0.000409938,NA,0.0150186,FALSE,NA,NA,NA,NA,NA,NA
677,4,85437806,86931670,TRUE,183,3012,9.61412e-05,0.000335562,0.395171,0.0157092,FALSE,NA,NA,NA,NA,NA,NA
678,4,86931671,88502717,TRUE,253,3241,NA,0.000788644,NA,2.5842e-05,FALSE,NA,NA,NA,NA,NA,NA
679,4,88502718,89244554,TRUE,198,1943,NA,0.000255094,NA,0.0545339,FALSE,NA,NA,NA,NA,NA,NA
680,4,89244555,90236971,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
681,4,90236972,91309863,TRUE,200,2345,NA,0.00043502,NA,0.00444961,FALSE,NA,NA,NA,NA,NA,NA
682,4,91309864,92219192,TRUE,225,2145,NA,0.000501557,NA,0.00230301,FALSE,NA,NA,NA,NA,NA,NA
683,4,92219193,93451599,TRUE,230,2089,NA,0.00036439,NA,0.0182448,FALSE,NA,NA,NA,NA,NA,NA
684,4,93451600,94757265,TRUE,251,2623,NA,0.000503632,NA,0.00368015,FALSE,NA,NA,NA,NA,NA,NA
685,4,94757266,96183801,TRUE,284,3027,8.29258e-05,0.00030884,0.425239,0.0521633,FALSE,NA,NA,NA,NA,NA,NA
686,4,96183802,97540787,TRUE,290,3406,0.000242104,0.000318001,0.312857,0.0486072,FALSE,NA,NA,NA,NA,NA,NA
687,4,97540788,98445515,TRUE,170,1866,0.000644578,0.000458264,0.058138,0.00163038,FALSE,NA,NA,NA,NA,NA,NA
688,4,98445516,99532480,TRUE,112,2041,0.000158584,7.28614e-05,0.299737,0.254659,FALSE,NA,NA,NA,NA,NA,NA
689,4,99532481,100333334,TRUE,159,2092,0.000215813,7.77254e-05,0.278637,0.277082,FALSE,NA,NA,NA,NA,NA,NA
690,4,100333335,101132995,TRUE,185,1857,NA,0.0004715,NA,0.0017799,FALSE,NA,NA,NA,NA,NA,NA
691,4,101132996,102544803,TRUE,287,3234,NA,0.000713576,NA,0.000195861,FALSE,NA,NA,NA,NA,NA,NA
692,4,102544804,104384534,TRUE,314,3262,9.37522e-05,0.00084432,0.421055,3.56926e-05,FALSE,NA,NA,NA,NA,NA,NA
693,4,104384535,105319195,TRUE,150,1633,0.000745279,0.000104066,0.0288404,0.213395,FALSE,NA,NA,NA,NA,NA,NA
694,4,105319196,106479155,TRUE,244,2255,0.000347215,0.000380543,0.228639,0.0169033,FALSE,NA,NA,NA,NA,NA,NA
695,4,106479156,108131206,TRUE,300,2924,NA,0.000348821,NA,0.0368569,FALSE,NA,NA,NA,NA,NA,NA
696,4,108131207,109122458,TRUE,211,1788,NA,0.000239447,NA,0.0700426,FALSE,NA,NA,NA,NA,NA,NA
697,4,109122459,109978982,TRUE,231,1923,0.000218126,0.000336127,0.310415,0.0261937,FALSE,NA,NA,NA,NA,NA,NA
698,4,109978983,111733579,TRUE,424,3359,0.000552104,0.000533825,0.188101,0.0112795,FALSE,NA,NA,NA,NA,NA,NA
699,4,111733580,112830229,TRUE,214,1914,NA,9.46128e-05,NA,0.269921,FALSE,NA,NA,NA,NA,NA,NA
700,4,112830230,113916002,TRUE,210,1949,NA,0.000225095,NA,0.0819769,FALSE,NA,NA,NA,NA,NA,NA
701,4,113916003,115306149,TRUE,340,2867,0.000690429,0.00037741,0.111835,0.0344004,FALSE,NA,NA,NA,NA,NA,NA
702,4,115306150,116204703,TRUE,141,1920,0.000264388,0.000437817,0.226866,0.00116865,FALSE,NA,NA,NA,NA,NA,NA
703,4,116204704,117313636,TRUE,175,2431,0.000247929,0.000317704,0.262101,0.0185958,FALSE,NA,NA,NA,NA,NA,NA
704,4,117313637,118395262,TRUE,218,2801,NA,0.000140992,NA,0.189385,FALSE,NA,NA,NA,NA,NA,NA
705,4,118395263,119138097,TRUE,134,1791,0.000678863,0.000380059,0.0335914,0.00306412,TRUE,-0.0230614,-0.0230614,FALSE,-1,0.93855,0.950348
706,4,119138098,119927262,TRUE,149,1637,NA,0.000104962,NA,0.210379,FALSE,NA,NA,NA,NA,NA,NA
707,4,119927263,120563073,TRUE,95,1583,NA,0.000119168,NA,0.13323,FALSE,NA,NA,NA,NA,NA,NA
708,4,120563074,121393008,TRUE,166,1899,0.000486962,0.000192082,0.110592,0.0908118,FALSE,NA,NA,NA,NA,NA,NA
709,4,121393009,121981243,TRUE,129,1826,NA,0.000459521,NA,0.000490277,FALSE,NA,NA,NA,NA,NA,NA
710,4,121981244,122655434,TRUE,225,2045,NA,0.000282229,NA,0.0475772,FALSE,NA,NA,NA,NA,NA,NA
711,4,122655435,123768693,TRUE,205,2012,5.98946e-05,0.000681729,0.432745,5.33362e-05,FALSE,NA,NA,NA,NA,NA,NA
712,4,123768694,124534997,TRUE,146,1838,7.32128e-05,0.000405794,0.406705,0.00263833,FALSE,NA,NA,NA,NA,NA,NA
713,4,124534998,125486535,TRUE,198,2324,NA,0.000669905,NA,4.99885e-05,FALSE,NA,NA,NA,NA,NA,NA
714,4,125486536,126476842,TRUE,250,2526,NA,0.000147735,NA,0.193049,FALSE,NA,NA,NA,NA,NA,NA
715,4,126476843,127279171,TRUE,217,1968,0.000113206,2.08543e-05,0.389036,0.435856,FALSE,NA,NA,NA,NA,NA,NA
716,4,127279172,128321876,TRUE,198,2222,NA,0.000163789,NA,0.144441,FALSE,NA,NA,NA,NA,NA,NA
717,4,128321877,129625376,TRUE,219,1891,0.000565992,0.000170147,0.107698,0.152859,FALSE,NA,NA,NA,NA,NA,NA
718,4,129625377,131098950,TRUE,275,2994,0.000280721,0.00035334,0.282729,0.0299423,FALSE,NA,NA,NA,NA,NA,NA
719,4,131098951,131873453,TRUE,155,1897,NA,4.14446e-05,NA,0.366689,FALSE,NA,NA,NA,NA,NA,NA
720,4,131873454,132801980,TRUE,134,1675,0.000125058,0.000116585,0.348371,0.175829,FALSE,NA,NA,NA,NA,NA,NA
721,4,132801981,133524886,TRUE,97,1672,0.000196853,0.000239111,0.247232,0.0192501,FALSE,NA,NA,NA,NA,NA,NA
722,4,133524887,134109978,TRUE,81,1535,6.76541e-05,0.000254985,0.383801,0.0098521,FALSE,NA,NA,NA,NA,NA,NA
723,4,134109979,135809542,TRUE,253,3466,NA,0.000494715,NA,0.00392721,FALSE,NA,NA,NA,NA,NA,NA
724,4,135809543,137400031,TRUE,291,3383,NA,0.000356893,NA,0.031773,FALSE,NA,NA,NA,NA,NA,NA
725,4,137400032,138537344,TRUE,307,3485,0.000136822,0.000261731,0.389324,0.0883679,FALSE,NA,NA,NA,NA,NA,NA
726,4,138537345,139553760,TRUE,272,2379,NA,0.000218432,NA,0.115288,FALSE,NA,NA,NA,NA,NA,NA
727,4,139553761,141087047,TRUE,462,2820,NA,0.000950936,NA,9.33145e-05,FALSE,NA,NA,NA,NA,NA,NA
728,4,141087048,142807914,TRUE,369,3169,0.000204957,0.00118257,0.355211,2.44057e-07,FALSE,NA,NA,NA,NA,NA,NA
729,4,142807915,144401042,TRUE,215,3227,NA,0.000190101,NA,0.119918,FALSE,NA,NA,NA,NA,NA,NA
730,4,144401043,146174871,TRUE,233,2524,0.000403163,0.000285673,0.190916,0.0485005,FALSE,NA,NA,NA,NA,NA,NA
731,4,146174872,147161042,TRUE,273,1874,NA,0.000283705,NA,0.0622744,FALSE,NA,NA,NA,NA,NA,NA
732,4,147161043,148462208,TRUE,214,2390,NA,0.000250081,NA,0.0652973,FALSE,NA,NA,NA,NA,NA,NA
733,4,148462209,149998528,TRUE,359,2806,NA,0.000649636,NA,0.00163833,FALSE,NA,NA,NA,NA,NA,NA
734,4,149998529,151014322,TRUE,190,1627,0.000190365,0.00010654,0.315627,0.234928,FALSE,NA,NA,NA,NA,NA,NA
735,4,151014323,152162098,TRUE,168,1809,NA,0.000639581,NA,3.97644e-05,FALSE,NA,NA,NA,NA,NA,NA
736,4,152162099,153520883,TRUE,275,2723,NA,0.000738476,NA,0.000115605,FALSE,NA,NA,NA,NA,NA,NA
737,4,153520884,155044409,TRUE,467,3392,NA,0.000739438,NA,0.00154967,FALSE,NA,NA,NA,NA,NA,NA
738,4,155044410,156520288,TRUE,379,2967,NA,0.000340918,NA,0.0582605,FALSE,NA,NA,NA,NA,NA,NA
739,4,156520289,157597309,TRUE,299,3242,NA,0.000634368,NA,0.000895052,FALSE,NA,NA,NA,NA,NA,NA
740,4,157597310,159176073,TRUE,258,3033,NA,7.72694e-05,NA,0.320992,FALSE,NA,NA,NA,NA,NA,NA
741,4,159176074,160828480,TRUE,291,3107,NA,0.000227847,NA,0.112744,FALSE,NA,NA,NA,NA,NA,NA
742,4,160828481,161666201,TRUE,239,2052,NA,0.00031186,NA,0.0375091,FALSE,NA,NA,NA,NA,NA,NA
743,4,161666202,162239289,TRUE,139,2200,NA,0.000166029,NA,0.101408,FALSE,NA,NA,NA,NA,NA,NA
744,4,162239290,163245541,TRUE,244,2776,NA,0.000314558,NA,0.037312,FALSE,NA,NA,NA,NA,NA,NA
745,4,163245542,163937103,TRUE,147,1761,5.79686e-05,0.00011623,0.422855,0.187188,FALSE,NA,NA,NA,NA,NA,NA
746,4,163937104,164781847,TRUE,206,1718,0.000755072,0.000341518,0.0475805,0.0195255,TRUE,0.190452,0.190452,FALSE,-1,1,0.657018
