"locus","chr","start","stop","processed","K","n_snps","h2_MDD_noUKB","h2_BIP_noUKB","p_MDD_noUKB","p_BIP_noUKB","gate_pass","rho_hat","rho_raw","paramlim_drop","rho_lower","rho_upper","bivar_p","n_pheno_returned","dropped_pheno"
548,3,145211908,145903838,TRUE,180,2007,0.00019773,8.81859e-05,0.0757931,0.0689157,FALSE,NA,NA,NA,NA,NA,NA,2,NA
549,3,145903839,147358243,TRUE,326,3392,1.21042e-05,0.000179667,0.462886,0.0107117,FALSE,NA,NA,NA,NA,NA,NA,2,NA
550,3,147358244,148638308,TRUE,365,2864,NA,3.19766e-05,NA,0.335074,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
551,3,148638309,149998411,TRUE,421,3227,0.000199355,0.000285459,0.165354,0.000804625,FALSE,NA,NA,NA,NA,NA,NA,2,NA
552,3,149998412,151131307,TRUE,332,2281,3.84297e-06,0.000258098,0.481347,0.000919391,FALSE,NA,NA,NA,NA,NA,NA,2,NA
553,3,151131308,151904021,TRUE,192,1903,7.45217e-06,0.000112896,0.465272,0.0306235,FALSE,NA,NA,NA,NA,NA,NA,2,NA
554,3,151904022,153406718,TRUE,343,3171,NA,0.000510326,NA,5.88269e-09,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
555,3,153406719,155046423,TRUE,323,3494,0.000243267,0.000389439,0.0915634,1.98506e-06,FALSE,NA,NA,NA,NA,NA,NA,2,NA
556,3,155046424,155928190,TRUE,174,1869,4.10947e-05,0.000154732,0.366487,0.00611686,FALSE,NA,NA,NA,NA,NA,NA,2,NA
557,3,155928191,156795410,TRUE,198,1887,NA,9.14253e-05,NA,0.0683215,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
558,3,156795411,157633700,TRUE,175,1876,NA,0.000210566,NA,0.000418408,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
559,3,157633701,158460058,TRUE,85,1858,NA,3.49293e-05,NA,0.175345,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
560,3,158460059,159478751,TRUE,244,1827,0.000187978,0.000283158,0.11719,4.92331e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
561,3,159478752,160584961,TRUE,196,2030,NA,0.000197969,NA,0.000954589,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
562,3,160584962,161628883,TRUE,157,2485,9.95994e-05,9.47298e-05,0.208846,0.0410703,FALSE,NA,NA,NA,NA,NA,NA,2,NA
563,3,161628884,162622604,TRUE,147,3122,0.000323556,0.000160288,0.00662005,0.00175283,TRUE,-0.123347,-0.123347,FALSE,-1,0.53911,0.69417,2,NA
564,3,162622605,163250112,TRUE,50,1870,2.32287e-06,5.26347e-06,0.460378,0.403215,FALSE,NA,NA,NA,NA,NA,NA,2,NA
565,3,163250113,164037360,TRUE,89,2063,3.95431e-05,8.64179e-05,0.322193,0.0191121,FALSE,NA,NA,NA,NA,NA,NA,2,NA
566,3,164037361,165054911,TRUE,155,1947,NA,0.000174168,NA,0.00114178,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
567,3,165054912,165936511,TRUE,138,2344,2.08075e-05,0.000124909,0.414858,0.010802,FALSE,NA,NA,NA,NA,NA,NA,2,NA
568,3,165936512,167118893,TRUE,161,3337,8.2939e-05,0.000310704,0.250578,3.8962e-07,FALSE,NA,NA,NA,NA,NA,NA,2,NA
569,3,167118894,168972662,TRUE,384,3460,0.000518468,0.000401149,0.0058941,3.87025e-06,TRUE,0.18252,0.18252,FALSE,-0.3756,0.73482,0.45442,2,NA
570,3,168972663,170174578,TRUE,330,2283,0.000209367,0.000472616,0.12674,3.16632e-08,FALSE,NA,NA,NA,NA,NA,NA,2,NA
571,3,170174579,171134849,TRUE,281,1863,NA,9.02517e-06,NA,0.437145,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
572,3,171134850,172004760,TRUE,270,1887,NA,6.22218e-05,NA,0.183084,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
573,3,172004761,173415591,TRUE,444,2890,1.94375e-05,0.000109871,0.454457,0.106571,FALSE,NA,NA,NA,NA,NA,NA,2,NA
574,3,173415592,174684707,TRUE,344,2790,0.0003361,0.000279083,0.0394633,0.000397304,TRUE,0.236202,0.236202,FALSE,-0.60051,1,0.47311,2,NA
575,3,174684708,175671424,TRUE,308,2474,0.000547211,0.0001769,0.00174645,0.00972813,TRUE,-0.296048,-0.296048,FALSE,-1,0.32354,0.336552,2,NA
576,3,175671425,176931163,TRUE,325,3120,4.14747e-06,0.000242611,0.480403,0.00120079,FALSE,NA,NA,NA,NA,NA,NA,2,NA
577,3,176931164,178110322,TRUE,387,2426,9.16845e-05,0.000515203,0.31392,1.18174e-08,FALSE,NA,NA,NA,NA,NA,NA,2,NA
578,3,178110323,179372165,TRUE,283,2551,9.10091e-05,0.000241297,0.286946,0.000698115,FALSE,NA,NA,NA,NA,NA,NA,2,NA
579,3,179372166,181424323,TRUE,383,3152,NA,0.000383615,NA,1.07816e-05,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
580,3,181424324,183203155,TRUE,443,2938,NA,0.000287705,NA,0.000983625,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
581,3,183203156,184524268,TRUE,516,3035,0.000593657,0.000334525,0.00609994,0.000414612,TRUE,0.375528,0.375528,FALSE,-0.19706,1,0.170941,2,NA
582,3,184524269,185709996,TRUE,230,2155,0.000189966,9.64275e-05,0.108286,0.0674798,FALSE,NA,NA,NA,NA,NA,NA,2,NA
583,3,185709997,186602045,TRUE,407,1899,NA,7.92631e-05,NA,0.172841,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
584,3,186602046,187939199,TRUE,601,3315,0.0006247,0.000437014,0.00708542,3.25844e-05,TRUE,-0.322834,-0.322834,FALSE,-1,0.16982,0.202952,2,NA
585,3,187939200,189451805,TRUE,528,3332,0.000114461,0.000364097,0.304443,0.000213321,FALSE,NA,NA,NA,NA,NA,NA,2,NA
586,3,189451806,190591293,TRUE,393,3154,0.000226765,0.0003301,0.127642,0.000107921,FALSE,NA,NA,NA,NA,NA,NA,2,NA
587,3,190591294,191229357,TRUE,150,1862,0.000276226,7.60327e-05,0.0168996,0.0737199,FALSE,NA,NA,NA,NA,NA,NA,2,NA
588,3,191229358,192049688,TRUE,234,2515,2.96348e-05,0.00017523,0.411615,0.00468619,FALSE,NA,NA,NA,NA,NA,NA,2,NA
589,3,192049689,193122090,TRUE,308,2324,NA,0.000213049,NA,0.0034312,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
590,3,193122091,194217140,TRUE,489,2713,NA,9.3065e-05,NA,0.155728,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
591,3,194217141,195196789,TRUE,447,3314,8.11506e-05,0.000251455,0.343532,0.00327612,FALSE,NA,NA,NA,NA,NA,NA,2,NA
592,3,195196790,195710290,TRUE,162,839,0.000516904,0.000316274,0.000170626,5.61563e-07,TRUE,-0.21718,-0.21718,FALSE,-0.7601,0.19753,0.306008,2,NA
593,3,195710291,196383152,TRUE,280,1655,0.000285992,0.000135049,0.0485775,0.0309014,TRUE,-0.0080261,-0.0080261,FALSE,-1,1,0.985657,2,NA
594,3,196383153,197147990,TRUE,295,1754,1.21233e-06,0.000338279,0.486239,1.23566e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
595,3,197147991,197962380,TRUE,194,1396,4.76489e-05,NA,0.355314,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"BIP_noUKB"
596,4,10227,812415,TRUE,158,1670,0.000163779,1.16426e-05,0.105466,0.398637,FALSE,NA,NA,NA,NA,NA,NA,2,NA
597,4,812416,1529267,TRUE,202,1875,0.000285155,0.000252225,0.0277696,8.36276e-05,TRUE,-0.675237,-0.675237,FALSE,-1,-0.0851,0.0305129,2,NA
598,4,1529268,2468935,TRUE,299,1936,0.000314316,0.000246276,0.0391002,0.000747195,TRUE,-0.324262,-0.324262,FALSE,-1,0.38084,0.338687,2,NA
599,4,2468936,3549229,TRUE,324,2391,5.51721e-06,0.000170901,0.477363,0.0148031,FALSE,NA,NA,NA,NA,NA,NA,2,NA
600,4,3549230,4266178,TRUE,347,1936,0.000444641,0.000164775,0.0127834,0.0211868,TRUE,-0.822613,-0.822613,FALSE,-1,-0.11511,0.0268551,2,NA
601,4,4266179,5051834,TRUE,386,2281,0.000185961,0.00011178,0.170766,0.0879255,FALSE,NA,NA,NA,NA,NA,NA,2,NA
602,4,5051835,5972709,TRUE,460,2918,NA,0.000102166,NA,0.127659,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
603,4,5972710,7135819,TRUE,672,3132,0.000282854,0.000321067,0.138634,0.00239098,FALSE,NA,NA,NA,NA,NA,NA,2,NA
604,4,7135820,7726034,TRUE,560,2355,0.000415043,0.000184941,0.0431107,0.0339299,TRUE,0.102954,0.102954,FALSE,-1,1,0.811751,2,NA
605,4,7726035,8309826,TRUE,383,1842,8.90778e-05,3.32044e-05,0.31796,0.334519,FALSE,NA,NA,NA,NA,NA,NA,2,NA
606,4,8309827,8882616,TRUE,203,1348,0.000402781,7.16164e-05,0.00426251,0.116401,FALSE,NA,NA,NA,NA,NA,NA,2,NA
607,4,8882617,9482867,TRUE,17,304,3.03101e-05,NA,0.215287,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"BIP_noUKB"
608,4,9482868,9916156,TRUE,80,1490,NA,7.78532e-06,NA,0.397756,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
609,4,9916157,10370666,TRUE,107,1742,0.00014224,4.02666e-05,0.0897214,0.17219,FALSE,NA,NA,NA,NA,NA,NA,2,NA
610,4,10370667,11050119,TRUE,221,1827,0.000107375,0.000104095,0.232071,0.054073,FALSE,NA,NA,NA,NA,NA,NA,2,NA
611,4,11050120,12209028,TRUE,390,3280,3.4691e-05,0.00039199,0.421214,6.95189e-06,FALSE,NA,NA,NA,NA,NA,NA,2,NA
612,4,12209029,13127576,TRUE,259,2622,5.71749e-05,0.000544779,0.351532,6.01378e-12,FALSE,NA,NA,NA,NA,NA,NA,2,NA
613,4,13127577,14395886,TRUE,452,3492,6.04e-05,0.00074726,0.380646,2.79797e-13,FALSE,NA,NA,NA,NA,NA,NA,2,NA
614,4,14395887,14967147,TRUE,168,1771,NA,0.000378383,NA,3.63516e-09,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
615,4,14967148,15910801,TRUE,254,2203,1.29011e-05,0.000272414,0.455991,8.91906e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
616,4,15910802,17290236,TRUE,505,3339,0.000134362,0.000200189,0.270604,0.0190061,FALSE,NA,NA,NA,NA,NA,NA,2,NA
617,4,17290237,18753263,TRUE,323,3424,0.00056789,0.000456354,0.00171023,3.1647e-07,TRUE,-0.348325,-0.348325,FALSE,-1,0.07218,0.112825,2,NA
618,4,18753264,20086838,TRUE,242,3630,4.94513e-05,0.000192437,0.364636,0.00250876,FALSE,NA,NA,NA,NA,NA,NA,2,NA
619,4,20086839,21416380,TRUE,448,3387,0.000776821,0.000266719,0.000308212,0.0022767,TRUE,0.0859792,0.0859792,FALSE,-0.53844,0.64334,0.738927,2,NA
620,4,21416381,22835185,TRUE,345,3693,NA,0.000483323,NA,4.57492e-08,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
621,4,22835186,23858350,TRUE,279,1940,0.000339835,0.00064098,0.0256457,2.25743e-14,TRUE,0.0558686,0.0558686,FALSE,-0.51387,0.59028,0.807511,2,NA
622,4,23858351,24764724,TRUE,352,1970,2.64746e-05,0.000365476,0.434232,1.08608e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
623,4,24764725,25832018,TRUE,396,2683,0.000221614,0.000163336,0.134318,0.0284935,FALSE,NA,NA,NA,NA,NA,NA,2,NA
624,4,25832019,27385580,TRUE,498,2722,NA,0.000323482,NA,0.000702734,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
625,4,27385581,28177792,TRUE,249,2356,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,0,"MDD_noUKB,BIP_noUKB"
626,4,28177793,28927438,TRUE,158,2123,0.000216555,0.000119571,0.0482989,0.015338,TRUE,0.0824618,0.0824618,FALSE,-1,1,0.847222,2,NA
627,4,28927439,29758399,TRUE,178,2136,0.000187369,0.000113065,0.0846999,0.0256352,FALSE,NA,NA,NA,NA,NA,NA,2,NA
628,4,29758400,30455555,TRUE,170,2017,0.000309406,0.000155741,0.0129853,0.00437892,TRUE,-0.224676,-0.224676,FALSE,-1,0.49001,0.510869,2,NA
629,4,30455556,31395092,TRUE,241,2647,7.70239e-06,0.000249293,0.468146,0.000220365,FALSE,NA,NA,NA,NA,NA,NA,2,NA
630,4,31395093,32260117,TRUE,183,2296,0.000154116,0.000194905,0.130096,0.00088707,FALSE,NA,NA,NA,NA,NA,NA,2,NA
631,4,32260118,32746820,TRUE,108,1705,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,0,"MDD_noUKB,BIP_noUKB"
632,4,32746821,33640822,TRUE,142,1819,0.000214183,NA,0.0445107,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"BIP_noUKB"
633,4,33640823,34721845,TRUE,87,2011,NA,7.58705e-05,NA,0.031508,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
634,4,34721846,35411236,TRUE,167,1642,NA,8.08947e-05,NA,0.0705435,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
635,4,35411237,35993838,TRUE,110,2211,NA,0.00019628,NA,4.70666e-05,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
636,4,35993839,36671801,TRUE,171,1916,0.00018688,0.000153576,0.0808801,0.00424259,FALSE,NA,NA,NA,NA,NA,NA,2,NA
637,4,36671802,37880860,TRUE,396,3739,NA,0.000303621,NA,0.000283625,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
638,4,37880861,38984838,TRUE,442,3014,0.000412398,0.000274816,0.0284843,0.00145775,TRUE,0.0903684,0.0903684,FALSE,-0.84002,0.90031,0.78461,2,NA
639,4,38984839,39820061,TRUE,211,1816,NA,0.000208639,NA,0.000738629,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
640,4,39820062,40590541,TRUE,317,1855,NA,0.000303667,NA,9.04946e-05,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
641,4,40590542,41360937,TRUE,241,1986,0.000190957,0.000157356,0.111574,0.0103893,FALSE,NA,NA,NA,NA,NA,NA,2,NA
642,4,41360938,42189251,TRUE,194,1873,0.00018488,0.000113287,0.0963627,0.0304731,FALSE,NA,NA,NA,NA,NA,NA,2,NA
643,4,42189252,43192424,TRUE,251,3075,0.000141723,0.000316954,0.183502,8.92306e-06,FALSE,NA,NA,NA,NA,NA,NA,2,NA
644,4,43192425,43962561,TRUE,152,1955,0.000363876,0.000209556,0.0036016,0.000283085,TRUE,0.075176,0.075176,FALSE,-0.62639,0.68254,0.788967,2,NA
645,4,43962562,45186767,TRUE,235,3411,NA,0.000180112,NA,0.00400329,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
646,4,45186768,46358360,TRUE,230,2178,NA,0.000429811,NA,3.47508e-09,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
647,4,46358361,47408265,TRUE,224,1785,NA,0.00025696,NA,9.12492e-05,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
648,4,47408266,49325138,TRUE,298,3074,0.000165518,0.000662202,0.168251,9.10284e-15,FALSE,NA,NA,NA,NA,NA,NA,2,NA
649,4,49325139,53879571,TRUE,205,1748,4.6844e-05,0.000183524,0.360876,0.00204753,FALSE,NA,NA,NA,NA,NA,NA,2,NA
650,4,53879572,54659778,TRUE,183,1708,6.34213e-05,0.000106657,0.309793,0.0341401,FALSE,NA,NA,NA,NA,NA,NA,2,NA
651,4,54659779,55681701,TRUE,317,1932,NA,0.000428717,NA,1.38315e-07,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
652,4,55681702,57103100,TRUE,402,3615,0.000389697,0.00028699,0.0297969,0.000667098,TRUE,0.0615299,0.0615299,FALSE,-0.8804,0.84245,0.848813,2,NA
653,4,57103101,58011085,TRUE,305,2497,5.20214e-05,0.000119579,0.373438,0.0535441,FALSE,NA,NA,NA,NA,NA,NA,2,NA
654,4,58011086,58940256,TRUE,286,2326,0.000373067,5.79927e-05,0.0173504,0.200034,FALSE,NA,NA,NA,NA,NA,NA,2,NA
655,4,58940257,59692948,TRUE,170,2105,0.00016582,5.76469e-05,0.104948,0.141764,FALSE,NA,NA,NA,NA,NA,NA,2,NA
656,4,59692949,60746709,TRUE,227,2853,0.000354343,0.000140875,0.0129374,0.0161838,TRUE,-0.234889,-0.234889,FALSE,-1,0.53949,0.523658,2,NA
657,4,60746710,61971161,TRUE,213,3603,4.2014e-05,0.000203647,0.375652,0.00106141,FALSE,NA,NA,NA,NA,NA,NA,2,NA
658,4,61971162,63337954,TRUE,348,2691,0.000400661,0.000204042,0.0195431,0.00626714,TRUE,-0.268961,-0.268961,FALSE,-1,0.44317,0.440013,2,NA
659,4,63337955,64117431,TRUE,176,2189,0.000480415,0.000185847,0.000550992,0.001373,TRUE,-0.442235,-0.442235,FALSE,-1,0.0912,0.103979,2,NA
660,4,64117432,65563100,TRUE,219,3535,0.000560557,0.000310563,0.000287731,4.42263e-06,TRUE,-0.122798,-0.122798,FALSE,-0.67729,0.30797,0.576967,2,NA
661,4,65563101,66597446,TRUE,223,2729,0.000235476,0.000129287,0.0621311,0.0238506,FALSE,NA,NA,NA,NA,NA,NA,2,NA
662,4,66597447,67616362,TRUE,195,2357,0.000133916,0.000242561,0.167466,8.57718e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
663,4,67616363,68742859,TRUE,216,2624,NA,0.000101499,NA,0.0514796,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
664,4,68742860,69603368,TRUE,105,992,NA,9.5928e-06,NA,0.393182,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
665,4,69603369,70516836,TRUE,97,2133,0.000264226,NA,0.00722602,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"BIP_noUKB"
666,4,70516837,71468300,TRUE,168,2830,NA,0.000118599,NA,0.0180039,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
667,4,71468301,73258294,TRUE,293,3133,0.0010171,0.000488809,1.17348e-07,5.63235e-09,TRUE,-0.0465342,-0.0465342,FALSE,-0.40421,0.26999,0.773279,2,NA
668,4,73258295,74885900,TRUE,263,2970,0.000164421,0.000307859,0.156301,2.5648e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
669,4,74885901,76497358,TRUE,348,3411,1.30532e-05,0.00045903,0.462413,6.89024e-08,FALSE,NA,NA,NA,NA,NA,NA,2,NA
670,4,76497359,78045637,TRUE,360,3703,0.00048997,0.000345077,0.00685852,2.74822e-05,TRUE,-0.200266,-0.200266,FALSE,-1,0.31993,0.438879,2,NA
671,4,78045638,78967715,TRUE,202,2219,0.000319592,0.00025714,0.0165383,5.44233e-05,TRUE,0.119531,0.119531,FALSE,-0.60973,0.81549,0.681637,2,NA
672,4,78967716,79880101,TRUE,195,1908,0.000316612,0.000284435,0.0160874,8.76889e-06,TRUE,-0.0499846,-0.0499846,FALSE,-0.86565,0.54945,0.858255,2,NA
673,4,79880102,81206182,TRUE,268,2649,0.000130189,0.000287683,0.209894,5.86092e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
674,4,81206183,82655623,TRUE,281,2597,0.000274895,0.000196303,0.0554009,0.00394119,FALSE,NA,NA,NA,NA,NA,NA,2,NA
675,4,82655624,84003062,TRUE,312,3069,0.000106826,0.00037136,0.267011,2.81088e-06,FALSE,NA,NA,NA,NA,NA,NA,2,NA
676,4,84003063,85437805,TRUE,320,2700,NA,5.50133e-05,NA,0.223872,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
677,4,85437806,86931670,TRUE,237,3115,0.000211286,0.000112774,0.0880291,0.0425832,FALSE,NA,NA,NA,NA,NA,NA,2,NA
678,4,86931671,88502717,TRUE,262,3296,0.000163715,0.000191837,0.156287,0.0036892,FALSE,NA,NA,NA,NA,NA,NA,2,NA
679,4,88502718,89244554,TRUE,208,1981,0.00012098,0.000233186,0.197912,0.000249462,FALSE,NA,NA,NA,NA,NA,NA,2,NA
680,4,89244555,90236971,TRUE,252,2055,7.02227e-05,0.000377907,0.320567,3.24727e-07,FALSE,NA,NA,NA,NA,NA,NA,2,NA
681,4,90236972,91309863,TRUE,216,2379,NA,0.000261331,NA,6.39286e-05,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
682,4,91309864,92219192,TRUE,237,2169,NA,0.000266206,NA,9.01176e-05,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
683,4,92219193,93451599,TRUE,236,2123,0.000294278,0.000157724,0.0323727,0.0091022,TRUE,-0.446413,-0.446413,FALSE,-1,0.31266,0.246031,2,NA
684,4,93451600,94757265,TRUE,266,2674,0.000345795,0.000420639,0.0223674,2.91463e-07,TRUE,-0.0916099,-0.0916099,FALSE,-0.8659,0.45939,0.730064,2,NA
685,4,94757266,96183801,TRUE,302,3076,NA,0.000153654,NA,0.0215423,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
686,4,96183802,97540787,TRUE,313,3485,NA,0.000252872,NA,0.000694087,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
687,4,97540788,98445515,TRUE,171,1872,NA,0.00028326,NA,2.64034e-06,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
688,4,98445516,99532480,TRUE,124,2073,0.000196469,0.000167222,0.0453964,0.000570564,TRUE,0.466967,0.466967,FALSE,-0.30044,1,0.194588,2,NA
689,4,99532481,100333334,TRUE,170,2115,7.7418e-05,6.00041e-05,0.268058,0.136317,FALSE,NA,NA,NA,NA,NA,NA,2,NA
690,4,100333335,101132995,TRUE,194,1918,0.000268201,4.88199e-05,0.0327803,0.196592,FALSE,NA,NA,NA,NA,NA,NA,2,NA
691,4,101132996,102544803,TRUE,297,3257,0.000252289,0.000232675,0.0749413,0.00110735,FALSE,NA,NA,NA,NA,NA,NA,2,NA
692,4,102544804,104384534,TRUE,334,3310,0.00039832,0.000351314,0.0181199,1.12598e-05,TRUE,-0.179801,-0.179801,FALSE,-1,0.38662,0.512255,2,NA
693,4,104384535,105319195,TRUE,162,1666,0.0003473,0.000231251,0.00572576,5.34252e-05,TRUE,0.228461,0.228461,FALSE,-0.39151,0.89079,0.40241,2,NA
694,4,105319196,106479155,TRUE,249,2296,0.000227978,0.000316773,0.0796949,1.03665e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
695,4,106479156,108131206,TRUE,320,3033,0.000425315,0.000300912,0.0116861,0.000112041,TRUE,0.151756,0.151756,FALSE,-0.54472,0.79716,0.589697,2,NA
696,4,108131207,109122458,TRUE,217,1818,NA,0.000205956,NA,0.000883291,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
697,4,109122459,109978982,TRUE,246,1958,0.000187267,9.28409e-05,0.117969,0.0794512,FALSE,NA,NA,NA,NA,NA,NA,2,NA
698,4,109978983,111733579,TRUE,459,3425,0.000120576,0.000127751,0.281559,0.0773319,FALSE,NA,NA,NA,NA,NA,NA,2,NA
699,4,111733580,112830229,TRUE,242,1983,0.000291732,0.000273996,0.035542,7.19142e-05,TRUE,-0.259431,-0.259431,FALSE,-1,0.37669,0.409537,2,NA
700,4,112830230,113916002,TRUE,218,1992,0.000368136,0.000206307,0.00936146,0.00100732,TRUE,-0.299146,-0.299146,FALSE,-1,0.30914,0.326889,2,NA
701,4,113916003,115306149,TRUE,375,2939,NA,0.000249236,NA,0.00164868,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
702,4,115306150,116204703,TRUE,151,1951,7.59107e-05,8.36381e-06,0.260223,0.420062,FALSE,NA,NA,NA,NA,NA,NA,2,NA
703,4,116204704,117313636,TRUE,182,2457,NA,0.000194858,NA,0.000772998,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
704,4,117313637,118395262,TRUE,221,2820,0.000141126,0.000286646,0.170205,1.96011e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
705,4,118395263,119138097,TRUE,139,1807,3.027e-05,0.000216015,0.384169,5.15815e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
706,4,119138098,119927262,TRUE,152,1641,0.000114926,0.000209402,0.173173,0.000125069,FALSE,NA,NA,NA,NA,NA,NA,2,NA
707,4,119927263,120563073,TRUE,96,1585,NA,0.000108711,NA,0.00718278,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
708,4,120563074,121393008,TRUE,171,1905,NA,0.000364475,NA,1.49094e-08,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
709,4,121393009,121981243,TRUE,133,1866,6.20406e-05,0.000107205,0.285695,0.0197341,FALSE,NA,NA,NA,NA,NA,NA,2,NA
710,4,121981244,122655434,TRUE,231,2115,3.6988e-05,8.22317e-05,0.392781,0.10269,FALSE,NA,NA,NA,NA,NA,NA,2,NA
711,4,122655435,123768693,TRUE,213,2027,NA,0.000295285,NA,1.06356e-05,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
712,4,123768694,124534997,TRUE,174,1912,NA,0.000159319,NA,0.00409766,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
713,4,124534998,125486535,TRUE,207,2368,2.31895e-05,0.000117834,0.423301,0.02942,FALSE,NA,NA,NA,NA,NA,NA,2,NA
714,4,125486536,126476842,TRUE,253,2538,0.000141846,0.000118731,0.183647,0.0388316,FALSE,NA,NA,NA,NA,NA,NA,2,NA
715,4,126476843,127279171,TRUE,231,2000,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,0,"MDD_noUKB,BIP_noUKB"
716,4,127279172,128321876,TRUE,210,2306,2.95132e-05,0.000319267,0.407409,2.69346e-06,FALSE,NA,NA,NA,NA,NA,NA,2,NA
717,4,128321877,129625376,TRUE,228,1912,0.000190796,0.000172143,0.107609,0.00705049,FALSE,NA,NA,NA,NA,NA,NA,2,NA
718,4,129625377,131098950,TRUE,298,3118,0.000287033,0.00025321,0.0535297,0.000545269,FALSE,NA,NA,NA,NA,NA,NA,2,NA
719,4,131098951,131873453,TRUE,163,1918,NA,7.97709e-05,NA,0.0700968,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
720,4,131873454,132801980,TRUE,134,1684,0.000149478,0.000142765,0.101567,0.00317789,FALSE,NA,NA,NA,NA,NA,NA,2,NA
721,4,132801981,133524886,TRUE,100,1681,5.43375e-05,4.96765e-05,0.281672,0.115648,FALSE,NA,NA,NA,NA,NA,NA,2,NA
722,4,133524887,134109978,TRUE,88,1558,7.6384e-05,5.85655e-05,0.20489,0.0783639,FALSE,NA,NA,NA,NA,NA,NA,2,NA
723,4,134109979,135809542,TRUE,256,3491,7.38282e-05,0.000124573,0.314006,0.0342195,FALSE,NA,NA,NA,NA,NA,NA,2,NA
724,4,135809543,137400031,TRUE,294,3444,NA,0.000262976,NA,0.000335628,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
