"locus","chr","start","stop","processed","K","n_snps","h2_AN","h2_ASD","p_AN","p_ASD","gate_pass","rho_hat","rho_raw","paramlim_drop","rho_lower","rho_upper","bivar_p","n_pheno_returned","dropped_pheno"
494,3,83529395,84698480,TRUE,122,2742,0.000439952,NA,0.0282916,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
495,3,84698481,85807679,TRUE,130,2677,0.000376444,NA,0.057076,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
496,3,85807680,86660979,TRUE,98,1734,NA,4.80672e-05,NA,0.418589,FALSE,NA,NA,NA,NA,NA,NA,1,"AN"
497,3,86660980,87411258,TRUE,80,1700,3.4856e-05,0.000220251,0.403289,0.203997,FALSE,NA,NA,NA,NA,NA,NA,2,NA
498,3,87411259,88375763,TRUE,98,2017,0.000228344,NA,0.125988,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
499,3,88375764,89612939,TRUE,125,2587,0.000345766,NA,0.0651482,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
500,3,89612940,94250144,TRUE,59,1278,0.000480628,0.000110162,0.00469012,0.302172,FALSE,NA,NA,NA,NA,NA,NA,2,NA
501,3,94250145,95088587,TRUE,70,1804,0.000580706,NA,0.00126178,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
502,3,95088588,96055532,TRUE,72,2708,0.000219826,NA,0.102376,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
503,3,96055533,97351955,TRUE,82,1505,NA,1.93705e-05,NA,0.451491,FALSE,NA,NA,NA,NA,NA,NA,1,"AN"
504,3,97351956,98212868,TRUE,117,2353,0.000242759,NA,0.134467,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
505,3,98212869,99045104,TRUE,144,2144,5.07075e-05,NA,0.402537,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
506,3,99045105,100552522,TRUE,182,2590,0.00162131,NA,1.62543e-07,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
507,3,100552523,101906989,TRUE,182,2782,0.00066086,NA,0.0103465,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
508,3,101906990,103450271,TRUE,146,3467,0.000210216,1.22884e-06,0.192226,0.483107,FALSE,NA,NA,NA,NA,NA,NA,2,NA
509,3,103450272,104116563,TRUE,130,2004,0.0007234,0.000239059,0.00203933,0.238919,FALSE,NA,NA,NA,NA,NA,NA,2,NA
510,3,104116564,104878977,TRUE,134,2072,0.000601216,0.000293347,0.00759863,0.19916,FALSE,NA,NA,NA,NA,NA,NA,2,NA
511,3,104878978,106174685,TRUE,249,3055,0.00180108,0.000677058,5.0421e-07,0.083548,FALSE,NA,NA,NA,NA,NA,NA,2,NA
512,3,106174686,107736519,TRUE,342,2978,0.000659385,NA,0.0431114,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
513,3,107736520,108638900,TRUE,173,1967,0.00116398,NA,3.98669e-05,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
514,3,108638901,109519606,TRUE,117,1804,5.46256e-05,NA,0.384347,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
515,3,109519607,110935508,TRUE,124,2582,0.000255543,NA,0.132512,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
516,3,110935509,111693782,TRUE,166,1969,0.00093046,NA,0.000529632,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
517,3,111693783,112408513,TRUE,150,1864,0.000906025,NA,0.000453366,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
518,3,112408514,113657665,TRUE,243,2905,0.00052005,NA,0.0516493,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
519,3,113657666,115649909,TRUE,375,3091,0.00247951,NA,1.37241e-08,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
520,3,115649910,116498570,TRUE,169,1886,0.00100984,NA,0.000252556,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
521,3,116498571,117241644,TRUE,212,1740,0.000968796,NA,0.0016786,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
522,3,117241645,118086929,TRUE,144,2003,0.000843811,NA,0.000742711,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
523,3,118086930,118903053,TRUE,158,1904,0.000550948,0.000219977,0.0178314,0.274553,FALSE,NA,NA,NA,NA,NA,NA,2,NA
524,3,118903054,119759983,TRUE,194,1946,0.000657021,NA,0.0123171,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
525,3,119759984,120574477,TRUE,192,1835,0.000126769,NA,0.316922,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
526,3,120574478,121362442,TRUE,68,1688,0.00049326,NA,0.00574862,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
527,3,121362443,122340832,TRUE,176,2230,0.000239574,NA,0.178207,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
528,3,122340833,123518507,TRUE,213,2210,0.000636677,NA,0.0208905,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
529,3,123518508,124823006,TRUE,280,2968,0.00117365,NA,0.000623201,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
530,3,124823007,125475722,TRUE,123,1639,0.000659824,NA,0.00430325,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
531,3,125475723,125992650,TRUE,72,1321,0.000366695,6.61985e-05,0.0259532,0.37921,FALSE,NA,NA,NA,NA,NA,NA,2,NA
532,3,125992651,127495173,TRUE,352,3458,0.0010081,8.33518e-05,0.00577756,0.43243,FALSE,NA,NA,NA,NA,NA,NA,2,NA
533,3,127495174,129091975,TRUE,240,2877,0.00153964,NA,6.46652e-06,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
534,3,129091976,130242360,TRUE,136,2046,0.000793778,NA,0.0014513,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
535,3,130242361,131373470,TRUE,135,1889,0.000693861,3.09366e-05,0.00351807,0.449269,FALSE,NA,NA,NA,NA,NA,NA,2,NA
536,3,131373471,132124018,TRUE,133,2416,0.000838264,NA,0.000537414,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
537,3,132124019,132925967,TRUE,132,1826,0.000313228,NA,0.0889588,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
538,3,132925968,133718493,TRUE,245,1799,0.00132395,0.00036775,8.71825e-05,0.216794,FALSE,NA,NA,NA,NA,NA,NA,2,NA
539,3,133718494,135288394,TRUE,387,3234,0.00094012,0.000105811,0.0107374,0.420936,FALSE,NA,NA,NA,NA,NA,NA,2,NA
540,3,135288395,137372141,TRUE,229,3115,0.000581795,0.000382338,0.0322977,0.200772,FALSE,NA,NA,NA,NA,NA,NA,2,NA
541,3,137372142,138693846,TRUE,192,2019,0.00101362,NA,0.000530264,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
542,3,138693847,139831267,TRUE,256,2316,0.0004594,0.000127637,0.0783783,0.386327,FALSE,NA,NA,NA,NA,NA,NA,2,NA
543,3,139831268,141034637,TRUE,282,2410,0.000531094,0.000103192,0.0645308,0.409697,FALSE,NA,NA,NA,NA,NA,NA,2,NA
544,3,141034638,141898978,TRUE,185,1828,0.000760777,NA,0.00535304,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
545,3,141898979,142976707,TRUE,201,1977,0.000608741,NA,0.0212709,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
546,3,142976708,144408821,TRUE,305,3034,0.00113095,NA,0.00138448,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
547,3,144408822,145211907,TRUE,89,1857,0.000819903,2.60746e-05,0.000210097,0.444283,FALSE,NA,NA,NA,NA,NA,NA,2,NA
548,3,145211908,145903838,TRUE,138,2051,0.000411786,5.59307e-05,0.0463374,0.422633,FALSE,NA,NA,NA,NA,NA,NA,2,NA
549,3,145903839,147358243,TRUE,281,3427,0.000570898,NA,0.0499872,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
550,3,147358244,148638308,TRUE,245,2685,0.00111675,0.000721017,0.000841392,0.0698598,FALSE,NA,NA,NA,NA,NA,NA,2,NA
551,3,148638309,149998411,TRUE,346,3052,0.00168396,NA,2.3039e-05,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
552,3,149998412,151131307,TRUE,269,2131,0.000902143,8.10309e-05,0.00524073,0.424694,FALSE,NA,NA,NA,NA,NA,NA,2,NA
553,3,151131308,151904021,TRUE,177,1988,0.000286474,0.00011257,0.13834,0.378275,FALSE,NA,NA,NA,NA,NA,NA,2,NA
554,3,151904022,153406718,TRUE,312,3243,0.00151405,NA,4.3214e-05,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
555,3,153406719,155046423,TRUE,220,3253,0.000848957,NA,0.0048524,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
556,3,155046424,155928190,TRUE,135,1885,0.00106327,NA,3.4466e-05,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
557,3,155928191,156795410,TRUE,146,1834,0.000511932,NA,0.0216294,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
558,3,156795411,157633700,TRUE,154,1923,0.000198197,0.00031694,0.205093,0.197729,FALSE,NA,NA,NA,NA,NA,NA,2,NA
559,3,157633701,158460058,TRUE,79,1988,0.000213164,0.000231455,0.116032,0.19207,FALSE,NA,NA,NA,NA,NA,NA,2,NA
560,3,158460059,159478751,TRUE,192,1854,0.000144496,0.000375157,0.29524,0.185133,FALSE,NA,NA,NA,NA,NA,NA,2,NA
561,3,159478752,160584961,TRUE,151,1935,0.000412748,NA,0.0535464,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
562,3,160584962,161628883,TRUE,119,2448,0.000447109,0.000406046,0.0250608,0.114278,FALSE,NA,NA,NA,NA,NA,NA,2,NA
563,3,161628884,162622604,TRUE,141,3257,0.000365145,0.000174205,0.0647832,0.304487,FALSE,NA,NA,NA,NA,NA,NA,2,NA
564,3,162622605,163250112,TRUE,36,1938,0.000211381,7.61452e-05,0.0496039,0.315208,FALSE,NA,NA,NA,NA,NA,NA,2,NA
565,3,163250113,164037360,TRUE,64,2076,0.000135298,8.1721e-05,0.192984,0.349336,FALSE,NA,NA,NA,NA,NA,NA,2,NA
566,3,164037361,165054911,TRUE,120,1909,0.000160891,0.000149481,0.222357,0.314973,FALSE,NA,NA,NA,NA,NA,NA,2,NA
567,3,165054912,165936511,TRUE,107,2332,0.000202666,2.6758e-05,0.164082,0.448281,FALSE,NA,NA,NA,NA,NA,NA,2,NA
568,3,165936512,167118893,TRUE,121,3433,NA,0.000223534,NA,0.244907,FALSE,NA,NA,NA,NA,NA,NA,1,"AN"
569,3,167118894,168972662,TRUE,267,3297,0.00191331,0.000450932,1.55507e-07,0.181168,FALSE,NA,NA,NA,NA,NA,NA,2,NA
570,3,168972663,170174578,TRUE,248,2207,0.00149372,NA,1.28224e-05,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
571,3,170174579,171134849,TRUE,242,1909,0.000790165,NA,0.00825575,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
572,3,171134850,172004760,TRUE,184,1760,0.000692571,NA,0.00944143,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
573,3,172004761,173415591,TRUE,296,2671,0.00141033,NA,0.000164353,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
574,3,173415592,174684707,TRUE,259,2706,0.00195659,NA,8.18513e-08,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
575,3,174684708,175671424,TRUE,199,2366,0.000434894,0.000385588,0.0761067,0.183041,FALSE,NA,NA,NA,NA,NA,NA,2,NA
576,3,175671425,176931163,TRUE,221,3036,0.000869004,NA,0.00359099,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
577,3,176931164,178110322,TRUE,317,2334,0.000953779,NA,0.00611871,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
578,3,178110323,179372165,TRUE,236,2560,0.000497662,NA,0.0565734,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
579,3,179372166,181424323,TRUE,268,2904,0.00170669,0.000763257,2.30728e-06,0.067444,FALSE,NA,NA,NA,NA,NA,NA,2,NA
580,3,181424324,183203155,TRUE,268,2478,0.000462699,NA,0.086609,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
581,3,183203156,184524268,TRUE,432,2925,0.00145844,NA,0.000707201,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
582,3,184524269,185709996,TRUE,193,2171,0.00127437,NA,2.5347e-05,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
583,3,185709997,186602045,TRUE,319,1835,0.00165934,NA,1.68342e-05,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
584,3,186602046,187939199,TRUE,496,3208,0.00232289,NA,2.06431e-06,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
585,3,187939200,189451805,TRUE,351,2915,0.000922401,NA,0.0107984,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
586,3,189451806,190591293,TRUE,295,3037,0.000803553,NA,0.0139049,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
587,3,190591294,191229357,TRUE,113,1854,0.000288774,0.000434245,0.0915896,0.0949374,FALSE,NA,NA,NA,NA,NA,NA,2,NA
588,3,191229358,192049688,TRUE,182,2567,0.000664658,NA,0.010092,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
589,3,192049689,193122090,TRUE,209,2191,0.00124664,NA,8.87774e-05,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
590,3,193122091,194217140,TRUE,283,2268,0.00151136,NA,4.2062e-05,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
591,3,194217141,195196789,TRUE,329,3125,0.000695337,NA,0.0386954,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
592,3,195196790,195710290,TRUE,110,750,0.000545554,NA,0.0147203,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
593,3,195710291,196383152,TRUE,232,1699,0.00121684,NA,0.000163158,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
594,3,196383153,197147990,TRUE,246,1747,0.000570259,NA,0.0406582,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
595,3,197147991,197962380,TRUE,125,1183,0.000640417,NA,0.00511751,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
596,4,10227,812415,TRUE,87,1370,0.000994386,0.000329739,2.80574e-05,0.125654,FALSE,NA,NA,NA,NA,NA,NA,2,NA
597,4,812416,1529267,TRUE,162,1871,0.00158219,4.5375e-05,3.78678e-07,0.439061,FALSE,NA,NA,NA,NA,NA,NA,2,NA
598,4,1529268,2468935,TRUE,213,1818,0.00147286,0.000586921,2.58955e-05,0.0970711,FALSE,NA,NA,NA,NA,NA,NA,2,NA
599,4,2468936,3549229,TRUE,264,2316,0.000549987,NA,0.0549888,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
600,4,3549230,4266178,TRUE,100,709,0.000387832,NA,0.0542273,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
601,4,4266179,5051834,TRUE,326,2241,0.000774951,NA,0.0207119,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
602,4,5051835,5972709,TRUE,339,2786,0.0013815,0.000381957,0.000414942,0.243793,FALSE,NA,NA,NA,NA,NA,NA,2,NA
603,4,5972710,7135819,TRUE,478,2697,0.00200708,NA,3.43506e-05,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
604,4,7135820,7726034,TRUE,461,2225,0.00346173,4.99278e-05,1.58417e-11,0.460952,FALSE,NA,NA,NA,NA,NA,NA,2,NA
605,4,7726035,8309826,TRUE,314,1681,0.000832113,NA,0.0144249,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
606,4,8309827,8882616,TRUE,153,1221,0.000653922,0.000181038,0.00939482,0.305301,FALSE,NA,NA,NA,NA,NA,NA,2,NA
607,4,8882617,9482867,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
608,4,9482868,9916156,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
609,4,9916157,10370666,TRUE,83,1701,0.000655575,NA,0.000784779,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
610,4,10370667,11050119,TRUE,194,1797,0.000477404,NA,0.0480904,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
611,4,11050120,12209028,TRUE,277,3269,0.00165856,NA,7.27808e-06,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
612,4,12209029,13127576,TRUE,209,2654,NA,0.000495098,NA,0.132082,FALSE,NA,NA,NA,NA,NA,NA,1,"AN"
613,4,13127577,14395886,TRUE,321,3269,0.000926316,0.000239976,0.00807972,0.322633,FALSE,NA,NA,NA,NA,NA,NA,2,NA
614,4,14395887,14967147,TRUE,138,1837,0.00044424,0.000200865,0.0356392,0.278169,FALSE,NA,NA,NA,NA,NA,NA,2,NA
615,4,14967148,15910801,TRUE,219,2211,0.000751907,0.000492285,0.00878232,0.138604,FALSE,NA,NA,NA,NA,NA,NA,2,NA
616,4,15910802,17290236,TRUE,406,3241,0.00190953,NA,7.88123e-06,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
617,4,17290237,18753263,TRUE,265,3125,0.00058795,8.00328e-05,0.0405589,0.424919,FALSE,NA,NA,NA,NA,NA,NA,2,NA
618,4,18753264,20086838,TRUE,189,3591,0.000783081,NA,0.00413673,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
619,4,20086839,21416380,TRUE,393,3370,0.00163373,0.000641052,8.11747e-05,0.144916,FALSE,NA,NA,NA,NA,NA,NA,2,NA
620,4,21416381,22835185,TRUE,267,3517,0.000708028,NA,0.0197226,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
621,4,22835186,23858350,TRUE,196,1824,0.000999027,NA,0.00065023,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
622,4,23858351,24764724,TRUE,286,1874,0.000464725,0.000203034,0.0920609,0.338296,FALSE,NA,NA,NA,NA,NA,NA,2,NA
623,4,24764725,25832018,TRUE,299,2503,0.00158349,0.000394985,2.54307e-05,0.223241,FALSE,NA,NA,NA,NA,NA,NA,2,NA
624,4,25832019,27385580,TRUE,373,2524,0.00226704,0.000691157,1.32181e-07,0.121831,FALSE,NA,NA,NA,NA,NA,NA,2,NA
625,4,27385581,28177792,TRUE,199,2280,0.000289965,NA,0.151672,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
626,4,28177793,28927438,TRUE,123,2147,0.000308545,NA,0.0871339,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
627,4,28927439,29758399,TRUE,127,2053,0.000497998,NA,0.0204152,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
628,4,29758400,30455555,TRUE,117,1839,0.000747083,0.000291687,0.00162226,0.185311,FALSE,NA,NA,NA,NA,NA,NA,2,NA
629,4,30455556,31395092,TRUE,177,2546,0.00104094,NA,0.000290171,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
630,4,31395093,32260117,TRUE,107,2184,9.30027e-06,NA,0.464231,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
631,4,32260118,32746820,TRUE,61,1590,0.000459546,NA,0.00560899,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
632,4,32746821,33640822,TRUE,50,1435,0.000316742,0.000262489,0.0287087,0.115909,FALSE,NA,NA,NA,NA,NA,NA,2,NA
633,4,33640823,34721845,TRUE,38,1854,0.000211453,2.17169e-05,0.0609475,0.424318,FALSE,NA,NA,NA,NA,NA,NA,2,NA
634,4,34721846,35411236,TRUE,111,1543,0.000378778,NA,0.0491262,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
635,4,35411237,35993838,TRUE,72,2179,0.000206451,NA,0.113686,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
636,4,35993839,36671801,TRUE,153,1927,0.000146323,0.000324198,0.267658,0.192024,FALSE,NA,NA,NA,NA,NA,NA,2,NA
637,4,36671802,37880860,TRUE,358,3826,0.00138699,NA,0.000335855,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
638,4,37880861,38984838,TRUE,407,3102,0.000784367,NA,0.0313294,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
639,4,38984839,39820061,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
640,4,39820062,40590541,TRUE,266,1828,0.000932045,NA,0.00491417,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
641,4,40590542,41360937,TRUE,220,1896,0.000277314,NA,0.172259,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
642,4,41360938,42189251,TRUE,142,1792,0.000493239,0.000166437,0.0260902,0.312354,FALSE,NA,NA,NA,NA,NA,NA,2,NA
643,4,42189252,43192424,TRUE,219,3102,1.44689e-05,0.000395669,0.467663,0.188103,FALSE,NA,NA,NA,NA,NA,NA,2,NA
644,4,43192425,43962561,TRUE,112,1942,0.000367644,NA,0.048202,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
645,4,43962562,45186767,TRUE,216,3470,0.000361572,0.000336072,0.109398,0.222353,FALSE,NA,NA,NA,NA,NA,NA,2,NA
646,4,45186768,46358360,TRUE,153,2036,0.00149077,0.000454769,2.92566e-07,0.116653,FALSE,NA,NA,NA,NA,NA,NA,2,NA
647,4,46358361,47408265,TRUE,199,1818,0.000260891,0.000750895,0.175364,0.0458758,FALSE,NA,NA,NA,NA,NA,NA,2,NA
648,4,47408266,49325138,TRUE,252,3115,0.000651263,0.000244807,0.0237306,0.298842,FALSE,NA,NA,NA,NA,NA,NA,2,NA
649,4,49325139,53879571,TRUE,91,1555,0.000509765,NA,0.00894635,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
650,4,53879572,54659778,TRUE,150,1768,0.0012686,NA,4.32521e-06,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
651,4,54659779,55681701,TRUE,239,1907,0.00132453,NA,6.11807e-05,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
652,4,55681702,57103100,TRUE,320,3417,0.000738549,NA,0.0235662,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
653,4,57103101,58011085,TRUE,247,2470,0.00127121,NA,0.000145726,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
654,4,58011086,58940256,TRUE,247,2481,0.000857653,8.46363e-05,0.0052882,0.418573,FALSE,NA,NA,NA,NA,NA,NA,2,NA
655,4,58940257,59692948,TRUE,119,2087,0.000258018,0.000197875,0.120336,0.266662,FALSE,NA,NA,NA,NA,NA,NA,2,NA
656,4,59692949,60746709,TRUE,198,2961,8.08565e-05,5.6849e-05,0.374817,0.434352,FALSE,NA,NA,NA,NA,NA,NA,2,NA
657,4,60746710,61971161,TRUE,138,3502,0.00041097,0.000335776,0.0499963,0.172641,FALSE,NA,NA,NA,NA,NA,NA,2,NA
658,4,61971162,63337954,TRUE,304,2742,0.00062442,0.000427219,0.0423623,0.207975,FALSE,NA,NA,NA,NA,NA,NA,2,NA
659,4,63337955,64117431,TRUE,105,2068,0.0012505,NA,1.37011e-06,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
660,4,64117432,65563100,TRUE,135,3346,0.00110148,NA,3.40555e-05,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
661,4,65563101,66597446,TRUE,185,2795,0.00114419,NA,0.000101209,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
662,4,66597447,67616362,TRUE,155,2327,0.000923139,NA,0.000584655,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
663,4,67616363,68742859,TRUE,165,2582,0.000904114,NA,0.000877253,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
664,4,68742860,69603368,TRUE,76,1337,0.000491964,NA,0.00836597,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
665,4,69603369,70516836,TRUE,66,3038,0.00122421,NA,2.53283e-08,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
666,4,70516837,71468300,TRUE,115,2789,NA,0.000280899,NA,0.191642,FALSE,NA,NA,NA,NA,NA,NA,1,"AN"
667,4,71468301,73258294,TRUE,161,2770,0.00146904,8.35063e-05,2.25614e-06,0.400871,FALSE,NA,NA,NA,NA,NA,NA,2,NA
668,4,73258295,74885900,TRUE,156,2858,0.000956579,NA,0.000402781,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
669,4,74885901,76497358,TRUE,223,3372,0.001093,NA,0.000413058,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
670,4,76497359,78045637,TRUE,310,3796,0.00105274,0.000520129,0.00256946,0.165712,FALSE,NA,NA,NA,NA,NA,NA,2,NA
671,4,78045638,78967715,TRUE,141,2194,0.000494855,NA,0.0247734,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
672,4,78967716,79880101,TRUE,136,1898,0.00083158,NA,0.000705822,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
673,4,79880102,81206182,TRUE,198,2632,0.000187002,0.000118353,0.247642,0.379567,FALSE,NA,NA,NA,NA,NA,NA,2,NA
674,4,81206183,82655623,TRUE,163,2428,0.000514161,6.59833e-05,0.0302591,0.4187,FALSE,NA,NA,NA,NA,NA,NA,2,NA
675,4,82655624,84003062,TRUE,218,2997,0.000552803,0.000227132,0.0411331,0.298683,FALSE,NA,NA,NA,NA,NA,NA,2,NA
676,4,84003063,85437805,TRUE,206,2579,0.000976104,NA,0.00121652,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
677,4,85437806,86931670,TRUE,133,2990,0.00104591,0.000446771,4.68812e-05,0.105638,FALSE,NA,NA,NA,NA,NA,NA,2,NA
678,4,86931671,88502717,TRUE,219,3346,0.000899122,NA,0.00251126,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
679,4,88502718,89244554,TRUE,183,2027,0.000636771,NA,0.0134199,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
680,4,89244555,90236971,TRUE,171,1936,0.000720678,NA,0.00577426,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
681,4,90236972,91309863,TRUE,157,2361,0.000431599,NA,0.0500802,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
682,4,91309864,92219192,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
683,4,92219193,93451599,TRUE,185,2103,0.000498277,NA,0.0409904,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
684,4,93451600,94757265,TRUE,210,2638,0.00119128,NA,0.000134477,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
685,4,94757266,96183801,TRUE,233,3101,0.000758009,0.000140159,0.010301,0.371063,FALSE,NA,NA,NA,NA,NA,NA,2,NA
